"","GSE123582_F1, sedentary ; F1, sedentary "
"12753",1.6327
"12757",-0.8311
"12759",-1.9613
"12763",0.8033
"12764",0.3626
"12767",0.9128
"12768",1.1495
"12769",-0.7008
"12772",1.7714
"12774",0.2858
"12777",-1.3143
"12778",-0.8952
"12780",0.2883
"12785",0.7804
"12789",0.8407
"12790",-2.9926
"12793",-0.4447
"12794",-2.179
"12795",0.5269
"12797",0.6411
"12798",0.4791
"12799",0.2218
"12801",1.5423
"12802",0.2909
"12803",0.2475
"12804",0.328
"12805",1.0316
"12807",0.2427
"12808",0.9152
"12810",0.5781
"12812",-0.1535
"12813",0.0347
"12814",-0.2048
"12815",-0.195
"12816",0.884
"12817",-0.5973
"12818",-1.7863
"12819",-0.2984
"12821",-0.7373
"12822",-0.8385
"12823",1.0684
"12824",1.1657
"12825",1.7571
"12826",1.375
"12827",0.2341
"12828",-1.4882
"12829",-1.6086
"12830",-0.5634
"12831",0.6013
"12832",0.2874
"12833",0.6612
"12834",1.0774
"12835",-1.986
"12836",-0.5492
"12837",-1.616
"12839",-1.0211
"12840",0.9158
"12841",-1.5181
"12842",1.1317
"12843",0.4155
"12845",1.0697
"12846",-0.0149
"12847",0.222
"12848",2.11
"12850",0.6096
"12854",-3.0027
"12856",-0.3199
"12857",-0.5574
"12858",-0.5221
"12859",-0.517
"12861",-0.5082
"12862",0.0399
"12864",-0.2118
"12865",-0.1773
"12866",0.1594
"12867",-0.1182
"12868",-0.9185
"12869",-1.6666
"12870",1.2694
"12874",0.8958
"12877",0.3185
"12879",-1.3535
"12889",0.8729
"12891",-1.0745
"12892",1.9861
"12894",-0.819
"12895",-2.0834
"12896",-0.8353
"12902",0.8052
"12903",-1.0341
"12904",2.0516
"12905",0.722
"12908",-1.3658
"12909",-0.7133
"12912",1.2998
"12913",-0.453
"12914",-0.242
"12915",-1.9848
"12916",-0.1928
"12918",-0.1557
"12919",-2.7569
"12921",-0.3536
"12922",-2.2337
"12925",-0.5941
"12927",-1.2017
"12928",1.1521
"12929",-0.2241
"12931",-0.6678
"12933",-0.5903
"12934",0.1253
"12936",0.0592
"12937",0.1541
"12939",-0.4301
