"","GSE123582_F1, sedentary ; F1, sedentary "
"12808",0.1656
"12810",0.1857
"12812",-0.0091
"12813",0.0126
"12814",-0.0392
"12815",-0.0232
"12816",0.1312
"12817",-0.2057
"12818",-0.4018
"12819",-0.0467
"12821",-0.8163
"12822",-0.3041
"12823",0.187
"12824",0.2322
"12825",0.9745
"12826",0.1594
"12827",0.026
"12828",-1.2327
"12829",-0.9026
"12830",-0.1412
"12831",0.1454
"12832",0.0545
"12833",0.17
"12834",0.2741
"12835",-0.8012
"12836",-0.1241
"12837",-1.5724
"12839",-0.3535
"12840",0.2706
"12841",-0.8573
"12842",0.4858
"12843",0.1698
"12845",0.4426
"12846",-0.001
"12847",0.0082
"12848",0.0858
"12850",0.046
"12854",-0.4653
"12856",-0.0246
"12857",-0.0657
"12858",-0.0394
"12859",-0.0569
"12861",-0.0492
"12862",0.0069
"12864",-0.0198
"12865",-0.0443
"12866",0.0131
"12867",-0.0105
"12868",-0.0976
"12869",-1.2727
"12870",0.3062
"12874",0.0635
"12877",0.0237
"12879",-0.1632
"12889",0.0666
"12891",-0.086
"12892",0.1008
"12894",-0.1138
"12895",-0.491
"12896",-0.123
"12902",0.2581
"12903",-0.2575
"12904",1.1152
"12905",0.0707
"12908",-0.0623
"12909",-0.0585
"12912",0.0817
"12913",-0.0295
"12914",-0.0145
"12915",-0.1289
"12916",-0.0173
"12918",-0.0283
"12919",-0.2006
"12921",-0.0373
"12922",-0.9766
"12925",-0.1179
"12927",-0.0828
"12928",0.0499
"12929",-0.015
"12931",-0.0961
"12933",-0.0299
"12934",0.0111
"12936",0.008
"12937",0.058
"12939",-0.0807
"12941",0.137
"12942",0.244
"12943",0.2615
"12946",0.0572
"12950",0.0231
"12952",-0.1891
"12953",-0.1252
"12954",-0.2331
"12955",-0.0835
"12958",0.5257
"12959",0.3726
"12960",-9e-04
"12962",-0.2232
"12964",-0.1643
"12971",0.0098
"12972",-0.0707
"12974",0.0305
"12977",0.0537
"12978",-0.064
"12982",0.1056
"12983",0.2626
"12984",-0.0884
"12986",0.0894
"12988",-0.0321
"12995",0.0351
"13000",0.0883
"13001",-7e-04
"13002",0.0341
"13003",-0.0468
"13004",-0.0504
"13006",-0.0266
"13007",-0.0475
"13008",-0.1502
"13010",-0.1933
"13011",-0.1846
"13014",-0.0069
"13016",-0.057
"13017",-0.038
"13018",-0.0094
"13019",0.2761
"13024",-0.116
"13025",-0.2705
"13026",-0.062
"13030",-0.0253
"13032",-0.152
"13033",-0.1857
"13036",0.0586
"13038",0.0479
"13039",-0.0359
"13040",0.0408
"13041",0.5819
"13043",-0.0606
"13046",-0.0331
"13047",0.0279
"13048",0.0858
"13051",-0.02
"13052",0.0546
"13056",-0.0598
"13057",-0.0227
"13058",-0.0044
"13063",0.0399
"13070",0.0254
"13075",-0.583
"13076",0.0205
"13078",0.33
"13082",0.4357
"13087",-0.7032
"13106",-0.3683
"13107",-0.463
"13110",0.0074
"13113",0.016
"13115",0.0912
"13116",-0.0504
"13120",-0.0021
"13121",0.0446
"13123",0.0363
"13131",-0.0195
"13132",-0.0819
"13134",-0.0638
"13135",-0.1611
"13136",-0.0044
"13138",-0.1201
"13139",-0.0032
"13142",0.6742
"13143",0.2323
"13144",-0.0868
"13162",0.9843
"13163",-0.0542
"13164",0.0145
"13166",0.1234
"13167",0.03
"13168",-0.0672
"13169",-0.0881
"13170",-0.1834
"13171",-0.0572
"13175",0.0926
"13176",0.1975
"13177",-0.0898
"13178",0.1105
"13179",0.555
"13180",0.2131
"13185",-0.1
"13190",-0.4536
"13191",-0.0476
"13193",0.0534
"13194",-0.0627
"13195",0.2802
"13196",0.1128
