"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"57",16993,16993,"ENSMUSG00000015889","Lta4h","leukotriene A4 hydrolase",2.114e-05,0.0115,0.0018,-0.1178,-0.1178,-3.919,3e-04
"58",105244971,105244971,"","Gm40489","predicted gene, 40489",2.204e-05,0.0115,0.0019,0.8925,0.8925,3.0707,0.0039
"59",12583,12583,"ENSMUSG00000033022","Cdo1","cysteine dioxygenase 1, cytosolic",2.274e-05,0.0115,0.002,0.1343,0.1343,2.5668,0.0142
"60",12569,12569,"ENSMUSG00000048895","Cdk5r1","cyclin dependent kinase 5, regulatory subunit 1",2.266e-05,0.0115,0.002,-0.1216,-0.1216,-3.6578,7e-04
"61",20442,20442,"ENSMUSG00000013846","St3gal1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1",2.225e-05,0.0115,0.0019,-0.3944,-0.3944,-3.9253,3e-04
"62",638247,638247,"ENSMUSG00000097006","9530082P21Rik","RIKEN cDNA 9530082P21 gene",2.576e-05,0.0126,0.002,0.3789,0.3789,4.1907,2e-04
"63",403174,403174,"ENSMUSG00000051246","Msantd1","Myb/SANT-like DNA-binding domain containing 1",2.548e-05,0.0126,0.002,-0.309,-0.309,-4.1228,2e-04
"64",18799,18799,"ENSMUSG00000010660","Plcd1","phospholipase C, delta 1",2.81e-05,0.0133,0.0021,0.1424,0.1424,2.5612,0.0144
"65",64899,64899,"ENSMUSG00000027412","Lpin3","lipin 3",2.801e-05,0.0133,0.0021,0.496,0.496,3.9659,3e-04
"66",105242685,105242685,"","Gm38834","predicted gene, 38834",2.972e-05,0.0134,0.0022,-0.8083,-0.8083,-3.9462,3e-04
"67",228802,228802,"ENSMUSG00000038572","Bpifb5","BPI fold containing family B, member 5",2.905e-05,0.0134,0.0021,1.1367,1.1367,3.8662,4e-04
"68",212555,212555,"ENSMUSG00000028744","Slc66a1","solute carrier family 66 member 1",2.945e-05,0.0134,0.0022,-0.2376,-0.2376,-3.3727,0.0017
"69",77288,77288,"ENSMUSG00000054457","9430021M05Rik","RIKEN cDNA 9430021M05 gene",3.079e-05,0.0135,0.0023,-0.2642,-0.2642,-3.6826,7e-04
"70",16590,16590,"ENSMUSG00000005672","Kit","KIT proto-oncogene receptor tyrosine kinase",3.076e-05,0.0135,0.0022,-0.2765,-0.2765,-3.4444,0.0014
"71",21929,21929,"ENSMUSG00000019850","Tnfaip3","tumor necrosis factor, alpha-induced protein 3",3.132e-05,0.0136,0.0023,-0.4734,-0.4734,-3.821,5e-04
"72",14160,14160,"ENSMUSG00000020140","Lgr5","leucine rich repeat containing G protein coupled receptor 5",3.182e-05,0.0136,0.0023,-0.5168,-0.5168,-4.0028,3e-04
"73",19125,19125,"ENSMUSG00000003526","Prodh","proline dehydrogenase",3.239e-05,0.0136,0.0024,0.1811,0.1811,3.221,0.0026
"74",67538,67538,"ENSMUSG00000045822","Zswim3","zinc finger SWIM-type containing 3",3.363e-05,0.014,0.0024,-0.2544,-0.2544,-3.0669,0.0039
"75",17187,17187,"ENSMUSG00000059436","Max","Max protein",3.434e-05,0.014,0.0024,-0.1099,-0.1099,-3.5617,0.001
"76",74762,74762,"ENSMUSG00000043557","Mdga1","MAM domain containing glycosylphosphatidylinositol anchor 1",3.468e-05,0.014,0.0025,-0.271,-0.271,-3.5923,9e-04
"77",115489144,115489144,"","Gm52451","predicted gene, 52451",3.539e-05,0.0141,0.0025,0.7464,0.7464,2.6105,0.0127
"78",102636409,102636409,"","Gm33483","predicted gene, 33483",3.649e-05,0.0142,0.0026,0.4356,0.4356,2.4613,0.0183
"79",102635703,102635703,"","Gm32974","predicted gene, 32974",3.631e-05,0.0142,0.0025,-1.0189,-1.0189,-5.0723,9.819e-06
"80",99296,99296,"ENSMUSG00000039059","Hrh3","histamine receptor H3",3.713e-05,0.0143,0.0026,-0.2609,-0.2609,-3.5384,0.0011
"81",68802,68802,"ENSMUSG00000020067","Mypn","myopalladin",3.82e-05,0.0143,0.0027,-0.5336,-0.5336,-3.5939,9e-04
"82",329659,329659,"ENSMUSG00000048581","E130311K13Rik","RIKEN cDNA E130311K13 gene",3.804e-05,0.0143,0.0026,0.2496,0.2496,3.8475,4e-04
"83",14958,14958,"ENSMUSG00000096210","H1f0","H1.0 linker histone",3.887e-05,0.0144,0.0027,0.161,0.161,3.0913,0.0037
"84",240819,240819,"ENSMUSG00000047053","Teddm1a","transmembrane epididymal protein 1A",4.18e-05,0.0151,0.0028,1.2142,1.2142,3.9184,3e-04
"85",83436,83436,"ENSMUSG00000031557","Plekha2","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2",4.261e-05,0.0151,0.0028,0.3098,0.3098,3.2188,0.0026
"86",105244467,105244467,"","9630025H16Rik","RIKEN cDNA 9630025H16 gene",4.219e-05,0.0151,0.0028,-1.3144,-1.3144,-4.519,5.578e-05
"87",279766,279766,"ENSMUSG00000034175","Rhbdd3","rhomboid domain containing 3",4.119e-05,0.0151,0.0027,-0.143,-0.143,-4.2381,1e-04
"88",102638251,102638251,"","Gm12536","predicted gene 12536",4.912e-05,0.0152,0.0032,0.4355,0.4355,3.4932,0.0012
"89",108927,108927,"ENSMUSG00000048332","Lhfpl6","LHFPL tetraspan subfamily member 6",4.774e-05,0.0152,0.0031,0.2197,0.2197,3.8832,4e-04
"90",12988,12988,"ENSMUSG00000032312","Csk","c-src tyrosine kinase",4.679e-05,0.0152,0.003,-0.0737,-0.0737,-2.1062,0.0416
"91",240120,240120,"ENSMUSG00000062101","Zfp119b","zinc finger protein 119b",4.951e-05,0.0152,0.0032,0.3138,0.3138,3.9993,3e-04
"92",114482797,114482797,"","Mir12181","microRNA mir-12181",4.758e-05,0.0152,0.0031,0.7215,0.7215,2.8917,0.0062
"93",74782,74782,"ENSMUSG00000020251","Glt8d2","glycosyltransferase 8 domain containing 2",4.918e-05,0.0152,0.0032,-0.3137,-0.3137,-4.1896,2e-04
"94",102637987,102637987,"ENSMUSG00000109407","Gm34664","predicted gene, 34664",4.428e-05,0.0152,0.0029,1.1732,1.1732,3.4137,0.0015
"95",102637662,102637662,"","Gm34416","predicted gene, 34416",4.602e-05,0.0152,0.003,0.6453,0.6453,2.9135,0.0059
"96",16525,16525,"ENSMUSG00000033998","Kcnk1","potassium channel, subfamily K, member 1",4.594e-05,0.0152,0.0029,0.1566,0.1566,4.3747,8.709e-05
"97",102634737,102634737,"","Gm32249","predicted gene, 32249",4.434e-05,0.0152,0.0029,-0.6389,-0.6389,-3.4371,0.0014
"98",75146,75146,"ENSMUSG00000025227","Mfsd13a","major facilitator superfamily domain containing 13a",4.654e-05,0.0152,0.003,-0.1516,-0.1516,-3.4414,0.0014
"99",18515,18515,"ENSMUSG00000034673","Pbx2","pre B cell leukemia homeobox 2",4.782e-05,0.0152,0.0031,-0.1159,-0.1159,-4.0749,2e-04
"100",378937,378937,"ENSMUSG00000033707","Lrrc24","leucine rich repeat containing 24",4.955e-05,0.0152,0.0033,-0.1557,-0.1557,-2.3317,0.0249
"101",102638484,102638484,"","Gm35037","predicted gene, 35037",5.3e-05,0.0161,0.0033,0.5288,0.5288,3.1997,0.0027
"102",319711,319711,"ENSMUSG00000097585","E230029C05Rik","RIKEN cDNA E230029C05 gene",5.539e-05,0.0163,0.0034,0.2728,0.2728,2.5495,0.0148
"103",71710,71710,"ENSMUSG00000027550","Lrrcc1","leucine rich repeat and coiled-coil domain containing 1",5.46e-05,0.0163,0.0033,0.1549,0.1549,2.9846,0.0049
"104",102640042,102640042,"ENSMUSG00000100417","Gm29593","predicted gene 29593",5.442e-05,0.0163,0.0033,0.5011,0.5011,3.1697,0.003
"105",102637887,102637887,"","Gm34583","predicted gene, 34583",5.587e-05,0.0163,0.0034,0.2832,0.2832,3.1268,0.0033
"106",212326,212326,"ENSMUSG00000070044","Fam149a","family with sequence similarity 149, member A",5.609e-05,0.0163,0.0034,0.2017,0.2017,3.8347,4e-04
"107",319710,319710,"ENSMUSG00000048285","Frmd6","FERM domain containing 6",5.847e-05,0.0168,0.0035,-0.2344,-0.2344,-3.3766,0.0017
"108",56219,56219,"ENSMUSG00000028838","Extl1","exostosin-like glycosyltransferase 1",5.94e-05,0.0169,0.0035,-0.2025,-0.2025,-4.159,2e-04
"109",333088,333088,"ENSMUSG00000059022","Kcp","kielin/chordin-like protein",6.03e-05,0.017,0.0035,-0.3635,-0.3635,-4.4226,7.515e-05
"110",102635243,102635243,"ENSMUSG00000108393","Gm32633","predicted gene, 32633",6.118e-05,0.017,0.0036,0.3573,0.3573,2.485,0.0173
"111",18133,18133,"ENSMUSG00000037362","Ccn3","cellular communication network factor 3",6.11e-05,0.017,0.0036,-0.2218,-0.2218,-3.6147,8e-04
"112",100009600,100009600,"ENSMUSG00000079681","Zglp1","zinc finger, GATA-like protein 1",6.298e-05,0.0173,0.0036,-0.7021,-0.7021,-3.3965,0.0016
"113",12747,12747,"ENSMUSG00000026034","Clk1","CDC-like kinase 1",6.414e-05,0.0175,0.0037,-0.3755,-0.3755,-4.5659,4.822e-05
"114",115487436,115487436,"","Gm51792","predicted gene, 51792",6.543e-05,0.0175,0.0037,0.6761,0.6761,0.7842,0.4376
