"","GSE111212_exercise"
"14236",0.1915
"14238",0.8411
"14239",0.2376
"14245",-0.3549
"14246",-0.8061
"14247",1.291
"14248",-0.5788
"14251",-0.5543
"14252",-0.1452
"14254",0.2767
"14255",-0.9058
"14256",-0.6269
"14257",-0.6816
"14260",-1.2456
"14261",0.6888
"14263",0.2621
"14264",1.0636
"14265",0.0775
"14266",-0.4068
"14268",-0.223
"14269",-0.9219
"14270",-0.6054
"14272",0.1652
"14275",0.4356
"14276",1.3767
"14281",0.0124
"14282",0.0061
"14284",-1.266
"14287",0.4381
"14289",-1.8459
"14293",0.5045
"14296",0.2854
"14297",1.3342
"14299",0.862
"14300",0.1721
"14302",0.1264
"14312",-0.274
"14313",0.4284
"14314",-0.0581
"14325",1.0223
"14339",0.0738
"14343",-0.7148
"14344",-0.2537
"14345",1.9927
"14347",0.6161
"14348",-1.1397
"14349",-0.725
"14356",-0.1392
"14357",0.0286
"14359",0.2482
"14360",0.3143
"14362",-0.9686
"14365",-0.5651
"14366",0.276
"14367",-0.2956
"14368",1.4582
"14369",0.7201
"14370",-0.6251
"14371",-2.4838
"14373",-0.2625
"14375",1.0275
"14376",0.0234
"14381",-0.5999
"14385",-0.3444
"14387",-0.0556
"14388",-1.2632
"14389",-0.8517
"14390",2.0901
"14391",0.5992
"14394",-1.0828
"14395",-0.6777
"14396",-0.8017
"14397",0.002
"14400",-0.1084
"14401",-0.8027
"14402",0.5577
"14403",0.0473
"14404",1.6187
"14405",0.0102
"14406",-0.0576
"14407",-1.3849
"14408",-1.0002
"14409",-2.0267
"14411",1.025
"14412",0.8992
"14415",-1.2046
"14417",-1.1822
"14419",1.4945
"14420",-0.2473
"14421",0.339
"14422",0.7885
"14423",0.9444
"14425",-0.3698
"14426",0.4727
"14427",0.5151
"14428",1.3818
"14430",0.0028
"14431",0.4263
"14432",-0.519
"14433",-0.4351
"14447",-1.2501
"14450",-1.3228
"14451",0.9034
"14453",-0.8876
"14455",-0.3431
"14456",0.6929
"14457",-1.206
"14461",-0.7957
"14466",-1.2021
"14467",0.6028
"14469",0.592
"14470",0.1149
"14472",1.6169
"14479",-0.2424
"14489",0.1785
"14527",-0.4068
"14528",0.1357
"14533",1.1763
"14534",-0.2116
"14536",-0.9089
"14537",0.7016
"14538",-1.7556
"14539",1.0665
"14544",-0.5812
"14545",0.6385
"14547",0.1843
"14548",0.2552
"14555",1.4304
"14559",0.9065
"14560",0.0268
"14561",0.7325
"14563",1.3441
"14566",1.0251
"14567",-0.4151
"14569",0.1004
"14570",-0.1811
"14571",-0.6436
"14579",-0.6063
"14580",-0.2173
"14583",-0.2114
"14584",-0.8586
"14585",0.1431
"14586",-0.5611
"14588",0.8083
"14590",0.6556
"14593",0.1316
"14594",0.6397
"14595",1.2177
"14598",0.8052
"14599",0.2788
"14600",-0.3134
"14601",-1.1689
"14603",0.2331
"14605",-0.9677
"14608",0.6747
"14609",-0.0779
"14611",-0.4406
"14612",0.1247
"14613",-1.411
"14615",0.0092
"14616",-0.272
"14617",-1.5338
"14618",-0.5078
"14619",0.4423
"14620",1.5127
"14623",0.5954
"14628",-0.0192
"14629",-0.3929
"14630",1.0711
"14632",-0.9955
"14633",-0.3993
"14634",0.213
"14635",-0.696
"14645",0.0772
"14651",0.1578
"14652",0.2844
"14657",-0.3871
"14658",-0.6996
"14659",1.0452
"14660",0.2362
"14661",-0.5203
"14663",-1.0916
"14664",-1.2824
"14667",0.6965
"14670",0.2673
"14672",1.2535
"14673",-0.2718
"14674",-0.5828
"14675",0.2224
"14676",0.4294
"14677",-1.1447
"14678",0.6851
"14679",0.6254
"14680",0.1964
"14681",0.5109
"14682",-0.181
"14683",0.1444
"14685",-0.0999
"14687",-0.2843
"14688",0.2144
"14693",0.5872
"14694",0.5335
"14695",0.6067
"14696",-1.29
"14697",-0.6244
"14700",0.2238
"14701",-0.6109
"14702",0.5127
"14704",-0.6798
"14705",-0.17
"14706",-1.7973
"14707",1.1807
"14708",1.0932
"14709",-1.0538
"14710",0.5172
"14711",-0.1056
