"","GSE197754_enriched environment (EE)"
"13650",-0.7239
"13653",3.7318
"13654",3.3944
"13655",0.7715
"13656",3.9508
"13660",-1.9791
"13661",1.5674
"13663",-0.2836
"13664",2.6526
"13665",2.1295
"13666",-1.9867
"13667",-1.255
"13669",-1.6431
"13680",-2.1109
"13681",1.1176
"13682",0.8021
"13684",2.8282
"13685",1.7715
"13688",-0.7752
"13690",2.8249
"13709",1.8457
"13710",-0.3323
"13711",0.085
"13712",-2.3688
"13713",0.0094
"13714",1.5616
"13716",-0.9054
"13717",-0.8882
"13722",2.2993
"13723",0.3475
"13726",-0.7052
"13728",-1.5588
"13730",-0.0905
"13731",-2.2676
"13732",-0.1148
"13733",1.1889
"13796",-0.7325
"13797",-2.7681
"13799",-1.1193
"13800",-1.4419
"13803",-0.5992
"13804",1.113
"13805",0.8276
"13806",-0.1552
"13807",-0.1322
"13808",0.7104
"13809",-0.1042
"13813",1.2004
"13819",-0.2634
"13821",-1.1229
"13822",-0.3699
"13823",-0.9536
"13824",1.0937
"13828",0.5704
"13829",-2.2984
"13830",-1.4683
"13831",-2.0333
"13835",0.7655
"13836",-0.4336
"13837",1.5903
"13838",2.6186
"13839",0.2446
"13840",5.6406
"13841",5.6251
"13842",2.3755
"13844",0.5465
"13845",-0.9814
"13846",-0.3305
"13848",-0.9893
"13849",4.1077
"13850",-0.0289
"13852",-1.8947
"13853",-0.1458
"13854",-3.9664
"13855",-1.2726
"13857",-1.6592
"13858",1.7124
"13859",1.9982
"13860",0.9525
"13861",-1.0536
"13864",-2.978
"13865",-3.1267
"13866",-0.9504
"13867",0.4039
"13869",1.9077
"13870",0.0387
"13871",-0.6818
"13872",0.9146
"13875",0.2821
"13876",0.4556
"13877",2.3385
"13885",1.838
"13924",0.1007
"13929",0.8335
"13972",0.4796
"13982",0.631
"13983",-1.9541
"13990",1.0096
"13992",-2.8611
"13996",0.366
"13998",2.0456
"13999",-0.7455
"14000",-0.5148
"14004",-0.4676
"14007",1.3869
"14009",4.4323
"14011",-1.6595
"14012",-0.2453
"14013",-0.1554
"14017",-0.238
"14020",-0.5921
"14025",-0.3381
"14026",-1.6497
"14027",-1.7182
"14030",-1.5967
"14038",1.1653
"14042",0.8718
"14043",-2.0835
"14048",1.0539
"14049",0.7977
"14050",-0.5244
"14051",1.1228
"14055",-3.7063
"14056",0.263
"14057",0.8726
"14062",1.951
"14063",0.3664
"14064",1.2155
"14065",-0.2627
"14066",-0.117
"14067",1.6191
"14068",1.9106
"14069",0.9252
"14070",0.3589
"14071",-0.8746
"14073",-1.5495
"14077",0.434
"14081",1.6346
"14082",0.5687
"14083",-0.5084
"14084",0.1975
"14085",-2.0216
"14086",-2.6675
"14087",1.1506
"14088",0.343
"14089",0.9884
"14102",1.0863
"14103",0.2541
"14104",-1.8114
"14105",1.1266
"14106",-0.9057
"14107",0.3435
"14109",-2.0568
"14113",-0.1547
"14114",0.0516
"14115",-1.3161
"14118",2.8806
"14119",-0.2426
"14121",0.5267
"14123",-1.6441
"14127",-1.542
"14128",-0.3343
"14129",-1.0383
"14130",0.0083
"14131",-0.2823
"14132",0.5849
"14133",0.8394
"14137",-0.2531
"14148",-0.8901
"14149",-1.2317
"14151",0.3474
"14154",0.3543
"14155",0.446
"14156",0.1899
"14158",1.3498
"14159",-1.9272
"14160",0.2495
"14163",0.4343
"14164",-0.0187
"14165",0.052
"14166",-0.0414
"14167",3.2892
"14168",1.5125
"14169",-0.1915
"14171",1.9938
"14172",1.0321
"14173",1.6796
"14174",0.7337
"14176",0.3198
"14178",0.3461
"14180",0.8754
"14181",-0.2683
"14182",1.8611
"14183",-0.0578
"14184",-1.6947
"14186",1.9094
"14187",1.2083
"14190",1.0109
"14191",-0.39
"14194",0.7345
"14198",1.829
"14199",1.1896
"14200",1.304
"14201",-0.5003
"14202",1.4001
"14204",-1.5523
"14205",0.78
"14208",1.0361
"14211",1.4118
"14218",-2.2153
"14219",-0.6673
"14221",-1.1368
"14225",0.6321
"14226",2.0416
"14227",-2.6843
"14228",-1.1274
"14229",-0.9009
"14230",0.6964
"14231",0.76
"14232",-2.1553
"14233",2.8799
"14234",0.5693
"14235",0.7287
"14236",1.2394
"14238",-0.1192
"14239",0.5907
"14245",0.9503
"14247",-0.8871
"14248",-1.1236
"14251",-1.0627
"14252",-0.6916
"14254",-2.743
"14255",-1.4114
"14256",-1.6713
"14257",1.041
"14260",-0.0371
"14261",-0.1213
"14263",-1.456
"14264",-1.3125
"14265",1.5901
"14266",1.8655
"14268",0.6899
"14269",-2.6549
"14270",2.3252
"14272",0.1233
"14275",1.4361
"14276",0.2769
"14281",3.1127
"14282",1.7672
"14284",-0.1832
"14287",-0.6152
"14293",-0.4907
"14296",-2.6953
"14297",-0.037
"14299",-2.3656
"14300",0.5407
"14302",-0.7721
"14312",-0.1081
"14313",3.4534
"14314",-2.1033
"14319",-0.1305
"14325",0.0247
"14339",0.18
"14343",0.9385
"14344",-0.7791
"14345",0.349
"14347",-2.1413
"14348",1.2326
"14349",-1.61
"14356",-0.2511
"14357",-1.6015
"14359",-0.7433
"14360",-0.1463
"14362",0.357
"14365",1.4546
"14366",0.7333
"14367",0.9116
"14368",1.3918
"14369",0.404
"14370",-1.1635
"14371",0.2033
"14373",-0.2416
"14375",1.8657
"14376",-0.2821
"14381",1.2043
"14385",0.0657
"14387",-0.231
"14388",-0.7137
"14389",-0.817
"14390",0.2382
"14391",-0.6036
"14394",1.8627
"14395",0.448
"14396",0.1332
"14397",3.3282
"14399",0.4553
"14400",3.7818
"14401",1.8374
"14402",4.5731
"14403",-2.1704
"14404",1.1792
"14405",2.3087
"14406",2.8762
"14407",2.2957
"14408",0.7219
"14409",-0.3403
"14411",-1.9534
"14412",-2.0095
"14415",0.6008
"14417",2.897
"14419",2.393
"14420",0.0695
"14421",-1.4213
"14422",1.2807
"14423",0.1775
"14425",2.2728
"14426",-0.6976
"14427",0.2191
"14428",-1.4531
"14430",0.3146
"14431",0.5733
"14432",-1.5996
"14447",-1.2865
"14450",-1.0838
"14451",-1.38
"14453",0.0944
"14455",-1.4296
"14456",-0.7766
"14457",-2.4934
"14459",0.1281
"14461",0.3092
"14462",0.0344
"14465",-1.1677
"14466",1.3672
"14467",0.5955
"14469",-1.4504
"14470",-1.0413
"14472",0.8583
"14479",1.6816
"14489",1.7682
"14527",0.5055
"14528",-1.4216
"14533",0.9355
"14534",-0.4829
"14536",-0.4798
"14537",0.8213
"14538",0.7279
