"","GSE197754_enriched environment (EE)"
"13990",0.0711
"13992",-0.127
"13996",0.077
"13998",0.1546
"13999",-0.2951
"14000",-0.021
"14004",-0.0278
"14007",0.0548
"14009",0.178
"14011",-0.1442
"14012",-0.0807
"14013",-0.0361
"14017",-0.0163
"14020",-0.0279
"14025",-0.0145
"14026",-0.0702
"14027",-0.3575
"14030",-0.0668
"14038",0.3401
"14042",0.0495
"14043",-0.1193
"14048",0.078
"14049",0.1437
"14050",-0.0338
"14051",0.1358
"14055",-0.1743
"14056",0.0368
"14057",0.0441
"14062",0.2502
"14063",0.2395
"14064",0.4532
"14065",-0.1333
"14066",-0.0065
"14067",0.4686
"14068",1.6292
"14069",0.1578
"14070",0.0385
"14071",-0.4141
"14073",-0.0921
"14077",0.0245
"14081",0.0751
"14082",0.1087
"14083",-0.0231
"14084",0.0117
"14085",-0.1485
"14086",-0.125
"14087",0.2254
"14088",0.0471
"14089",0.2536
"14102",0.3071
"14103",0.1758
"14104",-0.0807
"14105",0.0579
"14106",-0.5034
"14107",0.024
"14109",-0.0846
"14113",-0.009
"14114",0.007
"14115",-0.1952
"14118",0.3135
"14119",-0.0249
"14121",0.3661
"14123",-0.1031
"14127",-0.2042
"14128",-0.0726
"14129",-0.1463
"14130",0.0013
"14131",-0.0218
"14132",0.0539
"14133",0.5174
"14137",-0.0116
"14148",-0.0971
"14149",-0.1345
"14151",0.0173
"14154",0.0192
"14155",0.0228
"14156",0.0197
"14158",0.074
"14159",-0.3788
"14160",0.0494
"14163",0.0367
"14164",-0.0011
"14165",0.0042
"14166",-0.0025
"14167",0.1751
"14168",0.0645
"14169",-0.0132
"14171",1.7151
"14172",0.1586
"14173",0.1631
"14174",0.5548
"14176",0.0472
"14178",0.0859
"14180",0.0718
"14181",-0.105
"14182",0.0933
"14183",-0.0035
"14184",-0.0884
"14186",1.6662
"14187",0.4086
"14190",0.1605
"14191",-0.3114
"14194",0.0352
"14198",0.3059
"14199",0.0708
"14200",0.0916
"14201",-0.1593
"14202",0.4478
"14204",-0.532
"14205",0.1321
"14208",0.0456
"14211",0.1048
"14218",-0.126
"14219",-0.0627
"14221",-0.0767
"14225",0.0264
"14226",0.1335
"14227",-0.1395
"14228",-0.0643
"14229",-0.0543
"14230",0.0719
"14231",0.1161
"14232",-0.0945
"14233",2.5441
"14234",0.1741
"14235",0.1562
"14236",0.0965
"14238",-0.0352
"14239",0.3614
"14245",0.0588
"14247",-0.1467
"14248",-0.0689
"14251",-0.0541
"14252",-0.0311
"14254",-0.1898
"14255",-0.1396
"14256",-0.4606
"14257",0.3297
"14260",-0.0038
"14261",-0.0116
"14263",-0.1894
"14264",-0.2044
"14265",0.0715
"14266",0.1277
"14268",0.0448
"14269",-0.1075
"14270",0.1153
"14272",0.007
"14275",0.3678
"14276",0.1507
"14281",0.6262
"14282",0.2468
"14284",-0.0122
"14287",-0.1489
"14293",-0.2483
"14296",-0.2706
"14297",-0.0053
"14299",-0.1007
"14300",0.0316
"14302",-0.2721
"14312",-0.0044
"14313",0.6604
"14314",-0.1152
"14319",-0.0053
"14325",0.0013
"14339",0.0093
"14343",1.0203
"14344",-0.363
"14345",0.1962
"14347",-1.1808
"14348",0.0933
"14349",-0.2389
"14356",-0.0217
"14357",-0.0823
"14359",-0.041
"14360",-0.006
"14362",0.0343
"14365",0.0689
"14366",0.1052
"14367",0.206
"14368",0.1824
"14369",0.0406
"14370",-0.1712
"14371",0.0354
"14373",-0.0346
"14375",0.1527
"14376",-0.013
"14381",0.0729
"14385",0.0065
"14387",-0.0125
"14388",-0.0408
"14389",-0.0568
"14390",0.0163
"14391",-0.0396
"14394",0.0815
"14395",0.0208
"14396",0.0068
"14397",0.1503
"14399",0.3946
"14400",0.1492
"14401",0.0795
"14402",0.1565
"14403",-0.1975
"14404",0.5702
"14405",0.1666
"14406",0.1403
"14407",0.1525
"14408",0.533
"14409",-0.117
"14411",-1.0404
"14412",-0.4513
"14415",0.0312
"14417",0.2511
"14419",1.3722
"14420",0.004
"14421",-0.0735
"14422",0.7251
"14423",0.0086
"14425",0.2939
"14426",-0.0812
"14427",0.0846
"14428",-0.5134
"14430",0.0217
"14431",0.0578
"14432",-0.0784
"14447",-0.3581
"14450",-0.0637
"14451",-0.1593
"14453",0.0105
"14455",-0.0668
"14456",-0.052
"14457",-0.0941
"14459",0.1225
"14461",0.0755
"14462",0.0363
"14465",-0.9931
"14466",0.0813
"14467",0.027
"14469",-0.2185
"14470",-0.0958
"14472",0.578
"14479",0.0753
"14489",0.066
"14527",0.5218
"14528",-0.4333
"14533",0.0642
"14534",-0.0308
"14536",-0.0559
"14537",0.1232
