"","GSE270831_social isolation"
"25278",-0.5629
"25280",0.1549
"25281",0.0068
"25285",0.2501
"25287",-0.036
"25288",0.1809
"25289",0.1823
"25290",0.0962
"25291",-0.0195
"25292",0.0219
"25294",0.3942
"25295",-0.1793
"25296",0.1408
"25298",-0.1369
"25300",-0.4906
"25302",0.2017
"25303",0.2417
"25304",-1.2572
"25305",-0.0955
"25306",0.2866
"25307",-0.1658
"25309",-0.2098
"25310",1.245
"25311",0.2894
"25312",0.0053
"25313",0.0188
"25314",0.0448
"25316",-0.0017
"25317",-0.0173
"25320",-0.7161
"25321",0.4523
"25322",-0.1285
"25323",-1.0573
"25324",0.0464
"25326",0.0735
"25327",0.1252
"25329",-0.181
"25330",0.2089
"25331",0.0094
"25332",-0.2019
"25333",-0.313
"25334",-0.7394
"25338",-0.1187
"25339",-0.5974
"25340",-0.5427
"25341",0.5532
"25342",-0.4707
"25343",-1.0839
"25345",0.0015
"25346",0.6982
"25347",-0.049
"25348",-0.147
"25350",-0.3662
"25351",-0.7132
"25353",-0.3582
"25354",-0.0027
"25356",0.1951
"25357",-0.1351
"25358",0.1288
"25359",-0.1025
"25360",0.3794
"25362",-0.4489
"25365",-0.3248
"25369",-0.2453
"25374",1e-04
"25375",-0.2419
"25376",0.0024
"25377",-0.0374
"25378",-0.0586
"25380",-0.5219
"25383",-0.0386
"25385",-0.4221
"25386",0.5298
"25389",1.8403
"25391",0.0611
"25394",-0.0357
"25398",0.2401
"25399",0.4101
"25400",0.32
"25401",8e-04
"25402",0.0726
"25404",0.1573
"25405",-0.1057
"25406",0.0731
"25407",-0.1834
"25408",-0.4063
"25409",0.4896
"25410",-0.3751
"25411",-6e-04
"25412",0.1731
"25413",0.0371
"25420",-0.5332
"25421",-0.1262
"25423",0.1782
"25424",0.0791
"25425",-0.135
"25426",0.0243
"25429",0.1454
"25430",0.5212
"25431",0.0533
"25432",-0.34
"25433",-0.006
"25435",0.0296
"25438",-0.292
"25441",-0.2394
"25443",-0.2406
"25444",-0.1646
"25445",-0.0108
"25446",0.1571
"25447",-9e-04
"25448",0.3546
"25449",-0.3751
"25450",0.1282
"25451",0.252
"25453",0.4802
"25454",-0.0182
"25455",-0.1923
"25456",-0.0347
"25457",-0.0904
"25460",0.0244
"25461",0.1008
"25462",-0.2131
"25464",0.043
"25466",0.1232
"25467",0.4208
"25468",0.2136
"25469",0.4331
"25470",0.1444
"25472",-0.6165
"25473",0.2096
"25475",-0.1349
"25476",0.3737
"25477",0.5377
"25478",0.2987
"25479",-0.0855
"25480",-0.2445
"25481",0.2086
"25483",0.0182
"25484",0.1386
"25485",0.1057
"25486",0.3192
"25491",0.4984
"25494",0.2065
"25495",-0.4165
"25496",0.4591
"25501",0.1399
"25503",0.4847
"25504",0.4802
"25505",-0.0149
"25509",-0.0464
"25510",-0.41
"25511",-0.5407
"25512",-0.1576
"25514",-0.1534
"25515",-0.1401
"25516",-0.0375
"25517",0.8606
"25523",0.1594
"25525",-0.826
"25527",0.1603
"25534",0.0212
"25539",0.8303
"25540",-0.003
"25542",-0.5878
"25544",-0.057
"25546",-9e-04
"25547",0.6611
"25548",0.0793
"25549",-0.2704
"25552",0.7788
"25553",0.9738
"25554",-0.5176
"25555",0.1625
"25556",0.0349
"25557",-0.4507
"25559",0.1378
"25560",0.0787
"25561",-1.9092
"25563",1.8058
"25565",0.1617
"25566",-0.1636
"25569",0.095
"25570",-0.3417
"25571",-0.2467
"25572",-1.9064
"25582",0.0548
"25583",-0.4711
"25584",-0.0942
"25585",0.1803
"25586",0.3027
"25589",0.9239
"25590",-0.1782
"25592",0.2456
"25593",0.1941
"25594",-0.0353
"25597",0.151
