"","GSE270831_social isolation"
"29407",-2.1986
"29409",0.5755
"29410",-1.2379
"29412",5.1658
"29415",1.7696
"29416",-0.6526
"29422",0.6395
"29423",-1.9349
"29424",3.3511
"29427",-1.3737
"29430",-0.6649
"29432",3.9513
"29435",-1.6215
"29436",-1.8667
"29440",3.3616
"29441",-0.798
"29446",-0.8065
"29455",-2.3477
"29456",1.4516
"29461",0.2561
"29463",-0.5002
"29464",3.7649
"29465",-1.1574
"29467",-3.6414
"29469",0.8613
"29471",0.0138
"29473",2.4878
"29475",-1.896
"29478",0.1638
"29480",5.1179
"29481",-1.3291
"29482",9.329
"29484",-2.8283
"29485",0.3238
"29492",5.1401
"29496",1.8527
"29498",-1.27
"29499",0.763
"29500",-1.0053
"29501",2.6719
"29503",1.1453
"29504",1.0086
"29507",-1.3027
"29509",3.523
"29510",-0.6155
"29511",6.4677
"29512",0.0035
"29513",0.9391
"29516",0.161
"29517",-1.0012
"29518",0.9143
"29520",-1.8052
"29524",0.6887
"29526",-0.4195
"29527",2.0936
"29530",-0.0956
"29531",-1.0107
"29533",-0.5535
"29536",-1.0088
"29540",-0.9712
"29541",-1.605
"29543",-2.0803
"29546",2.3319
"29547",5.8287
"29552",-0.0016
"29553",0.0743
"29555",0.1438
"29556",-0.4918
"29557",-2.9859
"29558",-0.3516
"29559",0.8425
"29563",0.9082
"29566",0.75
"29567",1.8079
"29569",0.0229
"29571",-1.0678
"29575",-1.9124
"29576",-0.0042
"29577",-0.4042
"29579",1.2169
"29580",-2.7193
"29581",-2.5495
"29583",1.4977
"29584",1.9712
"29585",-0.9668
"29586",-0.0639
"29588",1.1408
"29589",0.4782
"29591",2.0937
"29595",-0.2538
"29596",-3.4685
"29597",1.0897
"29598",3.23
"29600",-0.7766
"29602",1.7126
"29609",-0.109
"29610",0.3337
"29616",2.9291
"29618",0.8811
"29619",14.8002
"29624",-2.7111
"29625",-2.4719
"29627",0.8683
"29629",0.6855
"29631",-1.3638
"29633",5.7545
"29636",1.517
"29639",0.1096
"29641",0.9613
"29642",-2.6184
"29643",5.0003
"29645",4.5191
"29646",-0.0023
"29651",2.457
"29657",1.6326
"29658",2.1112
"29659",1.9196
"29660",-1.0008
"29662",-2.9213
"29665",0.2903
"29666",-0.1305
"29667",1.4769
"29680",0.9137
"29682",5.6728
"29685",1.7432
"29686",-0.8422
"29687",-0.9671
"29689",-0.0793
"29691",0.7799
"29692",2.5739
"29694",0.8587
"29695",3.178
"29700",-1.2835
"29701",-0.8648
"29705",1.024
"29707",-1.0822
"29708",-1.2995
"29709",3.179
"29710",6.1462
"29711",-1.1526
"29712",1.1905
"29713",0.8192
"29715",1.6865
"29716",4.1323
"29717",1.5142
"29719",-2.9775
"29721",10.3162
"29725",-0.3464
"29731",4.8852
"29734",5.9098
"29735",1.1959
"29737",0.6692
"29744",1.4299
"29747",1.637
"29748",0.2947
"29749",0.8886
"29750",1.0501
"29751",0.9885
"29752",-1.1132
"29755",0.1824
"29884",-2.0047
"50546",-0.0023
"50549",-0.0023
"50551",-0.9513
"50552",-0.0101
"50555",-0.0345
"50557",1.2631
"50559",0.9633
"50561",-2.6529
"50563",0.9282
"50564",0.0479
"50565",0.3072
"50566",-1.911
"50567",-1.4029
"50568",0.3562
"50577",1.8884
"50592",6.9077
"50594",-0.6271
"50599",6.5023
"50621",-0.5091
"50645",-0.0856
"50654",-1.6055
"50662",-0.7823
"50665",-1.5898
"50669",-0.8781
"50676",0.8378
"50677",0.3744
"50678",0.93
"50683",-1.3063
"50689",-0.6671
"50692",1.5071
"50693",-0.5378
"50719",2.8304
"50871",-1.9026
"50938",1.5937
"53949",4.2312
"54133",-3.214
"54193",-0.9896
"54223",1.5556
"54225",2.1544
"54227",-0.6013
"54230",-4.2643
"54231",-2.3338
"54232",3.1577
"54236",0.7655
"54237",2.0566
"54238",-1.6967
"54239",3.9137
"54242",-0.0015
"54244",-0.0121
"54246",0.9667
"54248",-0.332
"54249",0.4311
"54250",2.9448
"54251",4.4281
"54252",-1.0819
"54254",-0.0016
"54256",0.0091
"54257",4.1294
"54258",-1.5562
"54259",-0.2779
"54261",-0.4115
"54263",-0.6902
"54264",2.1988
"54266",0.9241
"54267",3.8537
"54269",0.0039
"54270",0.0038
"54271",-0.9805
"54272",0.0331
"54278",7.3072
"54279",3.3439
"54281",2.7423
"54282",1e-04
"54283",-3.8224
"54284",-0.9896
"54286",4.6477
"54289",-3.0245
"54290",-0.7367
"54291",-0.3211
"54293",1.8731
"54294",4.6841
"54295",0.9871
"54297",0.8784
"54299",6.1846
"54300",-1.0892
"54302",0.8013
"54305",7.0105
"54315",0.1565
"54319",-0.2779
"54320",-0.7276
"54323",8.931
"54349",1.5529
"54355",-1.3664
"54398",-1.0642
"54400",-0.9003
"54404",-0.7353
"54410",-1.4606
"54702",-0.1709
"55939",-1.0364
"56029",5.3658
"56082",-1.8436
"56083",1.6896
"56227",-3.7663
"56266",1.505
"56611",-2.9961
"56646",-0.2982
"56725",-3.9022
"56759",-3.3215
"56761",1.4574
"56763",0.5451
"56764",-0.1562
"56765",0.422
"56768",3.4457
"56777",1.9066
"56778",1.1676
"56780",1.4995
"56781",0.047
"56782",4.1179
"56785",0.3959
"56806",-2.1187
"56813",0.9384
"56814",2.0374
"56817",-1.4902
"56820",-0.83
"56822",-1.5423
"56823",-1.6025
"56824",0.7826
"56825",-0.4544
"56826",0.9487
"56827",5.7866
"57021",-0.9499
"57022",0.2786
"57029",0.9984
"57233",-1.0261
"57298",0.2534
"57301",0.5462
"57302",0.1728
"57305",-0.9381
"57341",0.4942
"57395",0.9503
"57809",-2.1155
"58808",-0.6379
"58812",-4.3185
"58813",0.8286
"58821",-1.5611
"58826",-0.0023
"58827",-1.1038
"58835",-2.4306
"58838",-0.5518
"58850",-0.9291
"58852",0.1233
"58853",13.2222
"58857",-3.8891
"58917",-1.1367
"58919",3.408
"58921",1.4664
"58922",-0.0015
"58923",0.7017
