"","GSE179081_physical activity derived from voluntary running"
"12823",-0.4488
"12824",-0.2775
"12825",-0.67
"12826",-0.4833
"12827",-0.504
"12828",0.9192
"12829",1.1818
"12830",-0.0054
"12831",-0.4525
"12832",-0.5383
"12833",-0.6094
"12834",-0.7374
"12835",-0.1553
"12836",-0.1167
"12837",1.8168
"12839",-0.2485
"12840",0.0441
"12841",1.531
"12842",-0.271
"12843",-0.258
"12845",0.181
"12846",0.0811
"12847",0.1189
"12848",0.1139
"12850",-0.0375
"12854",0.1354
"12856",0.1309
"12857",0.3124
"12858",0.8676
"12859",0.5003
"12861",0.2562
"12862",-0.4022
"12864",0.3339
"12865",0.0726
"12866",0.4015
"12867",0.0922
"12868",0.2576
"12870",-0.46
"12874",0.0253
"12876",0.0933
"12877",-0.2102
"12879",-0.3658
"12889",-0.1661
"12891",-0.16
"12892",-0.0044
"12894",0.1803
"12895",-2.477
"12896",0.4805
"12902",0.7968
"12903",-1.5577
"12904",0.0661
"12905",0.1298
"12908",-0.1519
"12909",-0.0412
"12912",0.0515
"12913",0.1066
"12914",-0.1467
"12915",0.0172
"12916",0.1402
"12918",0.0986
"12919",-0.9488
"12921",-0.3998
"12922",1.0426
"12925",0.2179
"12927",-0.004
"12928",0.2081
"12929",-0.042
"12931",0.0583
"12933",-0.0184
"12934",0.3775
"12936",-0.1353
"12937",-0.1484
"12939",0.2884
"12941",0.0131
"12942",-0.0799
"12943",0.0024
"12946",-0.0885
"12950",-0.2425
"12952",-0.1188
"12953",-0.0845
"12954",-1.2109
"12955",-0.1257
"12959",0.3183
"12960",0.2278
"12962",-0.8211
"12964",0.0687
"12970",-1.7717
"12971",-0.0578
"12972",0.3265
"12974",0.0446
"12977",-0.1944
"12978",-0.1507
"12982",-0.2825
"12983",-0.1701
"12984",-0.4909
"12985",-1.431
"12986",-0.4273
"12988",-0.0256
"12995",0.114
"13000",0.021
"13001",-0.1576
"13002",0.095
"13003",-0.3792
"13004",0.065
"13006",-0.0306
"13007",-0.186
"13008",0.8057
"13010",0.0488
"13011",1.257
"13014",0.159
"13016",0.1538
"13017",-0.0099
"13018",-0.0724
"13019",0.4335
"13024",-0.0335
"13025",-0.5323
"13026",0.011
"13030",0.0642
"13032",-0.1727
"13033",0.1368
"13036",-0.3674
"13038",-0.5895
"13039",0.1934
"13040",-0.1538
"13041",0.4169
"13043",0.0411
"13046",0.0796
"13047",0.0757
"13048",-0.1491
"13051",-0.0198
"13052",-0.029
"13056",0.3733
"13057",-0.3455
"13058",-0.0694
"13063",0.1569
"13070",0.2275
"13074",-0.2306
"13075",-0.3904
"13076",-0.5509
"13078",0.3457
"13079",0.9243
"13081",0.3215
"13082",0.2222
"13087",1.0307
"13106",-0.8911
"13110",-0.1445
"13113",-0.1123
"13115",0.0349
"13116",0.0475
"13120",-0.5939
"13121",0.1028
"13123",0.143
"13131",-0.1485
"13132",0.1912
"13134",-0.0023
"13135",-6e-04
"13136",0.126
"13137",-0.9908
"13138",-0.2159
"13139",0.043
"13142",0.2476
"13143",-0.3143
"13144",-0.105
"13162",-0.1123
"13163",-0.1214
"13164",0.223
"13166",0.0423
"13167",0.2089
"13168",-0.1015
"13169",-0.0257
"13170",-0.0732
"13171",0.1149
"13175",0.1271
"13176",-0.2552
"13177",0.0983
"13178",0.141
