"","GSE179081_physical activity derived from voluntary running"
"13178",1.0605
"13179",-2.1543
"13180",0.0385
"13185",1.0237
"13190",1.2233
"13191",-1.3519
"13193",0.0648
"13194",1.0008
"13195",0.6609
"13196",-1.3356
"13197",0.748
"13198",0.4348
"13199",-0.0233
"13200",1.322
"13202",0.5678
"13204",-0.6464
"13205",0.2084
"13206",0.7234
"13207",0.0047
"13209",1.4297
"13211",1.5989
"13244",-0.836
"13340",-0.2476
"13345",-0.3332
"13346",0.7133
"13347",0.2355
"13349",0.0783
"13350",0.2997
"13353",1.2722
"13356",1.2905
"13358",0.3557
"13360",0.0775
"13361",0.023
"13363",-0.0165
"13367",0.0582
"13368",-1.0035
"13371",-0.6697
"13382",1.1607
"13383",-0.1251
"13384",-1.2565
"13385",-1.0094
"13386",-1.9554
"13388",-1.4315
"13389",1.8634
"13390",-2.594
"13392",-1.8911
"13395",-1.726
"13396",-0.4219
"13400",0.2571
"13401",-0.7612
"13404",1.0508
"13405",-0.6841
"13406",-0.353
"13411",0.9998
"13417",1.8555
"13418",-1.225
"13419",1.0336
"13421",-0.014
"13423",-0.1002
"13424",-2.4303
"13426",-0.7818
"13427",-0.5347
"13429",-2.5572
"13430",-1.9795
"13433",-0.7241
"13434",0.9826
"13435",-1.1256
"13436",-1.4421
"13437",-0.9759
"13445",-0.6843
"13446",1.2182
"13447",-0.0797
"13448",0.4818
"13449",-0.8591
"13476",0.2994
"13478",-1.7399
"13479",0.3841
"13480",1.7924
"13481",0.8587
"13482",-0.8606
"13483",-0.4155
"13486",0.9483
"13487",1.3806
"13488",3.2118
"13489",0.6993
"13490",-0.5052
"13491",1.3859
"13492",-0.0643
"13494",2.583
"13495",-1.1655
"13496",-0.8007
"13497",-3.2623
"13498",-3.5587
"13505",1.5763
"13506",-0.4708
"13507",-2.1854
"13508",-0.3823
"13511",1.0119
"13516",0.0606
"13518",-2.1579
"13521",-0.8639
"13522",0.1471
"13524",-2.4312
"13527",-0.24
"13528",-1.6199
"13537",0.8162
"13542",-0.0492
"13543",-1.097
"13544",-1.6411
