"","GSE124954_exercise"
"13445",0.0511
"13446",0.0367
"13447",0.2548
"13448",0.2522
"13449",-0.0676
"13476",-0.0594
"13478",-0.154
"13480",-0.0975
"13481",-9e-04
"13482",0.0219
"13483",-0.0313
"13486",0.0503
"13487",1.345
"13488",0.2672
"13489",0.2088
"13490",1.6653
"13491",0.2947
"13492",0.2229
"13494",0.0542
"13495",0.0079
"13496",0.2028
"13497",0.0242
"13498",-0.1621
"13505",-0.8373
"13506",0.91
"13507",1.3204
"13508",-0.0295
"13511",-0.12
"13516",0.4262
"13518",-0.0327
"13521",-0.0407
"13522",-0.3682
"13524",0.134
"13527",-0.0614
"13528",-0.0432
"13537",-0.3358
"13542",0.1851
"13543",0.2701
"13544",0.1789
"13548",0.0596
"13549",-0.0661
"13555",-0.0622
"13557",0.1418
"13559",-0.0886
"13560",0.0462
"13589",-0.0658
"13590",0.2171
"13591",0.0252
"13592",-0.6666
"13593",-0.6212
"13595",0.0166
"13599",0.4453
"13601",0.7205
"13603",0.3606
"13605",-0.2359
"13607",0.0642
"13608",0.1408
"13609",-0.1013
"13610",-0.1864
"13611",-0.6753
"13612",-0.1515
"13614",0.5667
"13616",-0.1071
"13617",-0.328
"13618",-0.1099
"13619",-0.0592
"13626",0.0549
"13628",0.1144
"13631",0.0947
"13636",0.1868
"13637",0.1817
"13638",0.1784
"13639",0.185
"13640",-0.2853
"13641",0.2379
"13642",0.0634
"13643",-0.0163
"13644",-0.0646
"13645",-0.1819
"13646",-0.3859
"13649",-0.1451
"13650",0.359
"13653",0.1755
"13654",0.279
"13655",0.1984
"13656",0.2042
"13660",0.2136
"13663",0.0372
"13664",-0.032
"13665",-0.0601
"13666",0.0675
"13667",-0.1186
"13669",-0.0928
"13680",-0.0269
"13681",-0.0117
"13682",-0.0752
"13684",-0.0901
"13685",-0.2476
"13688",-0.124
"13690",0.0081
"13709",0.0316
"13711",0.2086
"13712",-0.1045
"13713",0.1004
"13714",-0.0479
"13716",0.0659
"13717",0.0103
"13722",-0.1938
"13723",0.0216
"13726",0.1115
"13728",0.0716
"13730",0.1855
"13731",-0.0883
"13732",-0.0126
"13733",0.0035
"13796",0.3127
"13797",0.0923
"13799",0.0202
"13800",0.0197
"13803",0.06
"13804",-0.0078
"13805",0.2912
"13806",-0.0298
"13807",0.09
"13808",-0.0599
"13809",0.1044
"13813",0.1419
"13819",0.2662
"13821",0.1793
"13822",-0.0953
"13823",-0.0453
"13824",-0.149
"13828",1.1232
"13829",0.0622
"13830",-0.001
"13831",-0.0713
"13835",-0.7861
"13836",-0.2867
"13837",-0.0332
"13838",-8e-04
"13839",-0.1025
"13840",6e-04
"13841",-0.0543
"13842",8e-04
"13844",0.0251
"13845",0.6399
"13846",0.1137
"13848",0.3199
"13849",0.0309
"13850",-0.1569
"13852",-0.0778
"13853",0.0387
"13854",0.1631
"13855",0.0252
"13857",0.0828
"13858",-0.0751
"13859",-0.0417
"13860",-0.0792
"13861",-0.3001
"13864",0.0892
"13865",-0.0467
"13866",0.6121
"13867",0.0412
"13869",-0.1109
"13870",-0.0123
"13871",0.2007
"13872",-0.0485
"13875",0.1059
"13876",0.1835
"13877",0.071
"13885",0.0058
"13924",0.3
"13929",-0.0559
"13972",0.0163
"13982",0.1862
"13983",-1.267
"13990",-0.0367
"13992",0.0466
"13996",0.1773
"13998",-0.0892
"13999",-0.7042
"14000",0.0372
"14004",-0.0019
"14007",-0.1533
"14009",0.0871
"14011",-0.0116
"14012",-0.355
"14013",0.3758
"14017",-0.2813
"14020",-0.0667
"14025",0.0106
"14026",0.1586
"14027",0.2339
"14030",-0.0882
"14038",-0.6623
"14042",0.1193
"14043",0.0533
"14048",0.0108
"14049",0.19
"14050",-0.0451
"14051",-0.1279
"14055",-0.0563
"14056",-0.1231
"14057",-0.0303
"14061",0.7107
"14062",-0.1445
"14063",0.6073
"14064",-0.0736
"14065",0.3939
"14066",-0.1884
"14067",0.1017
"14068",0.7343
"14069",0.0259
"14070",0.2601
"14071",-0.308
"14073",0.0414
"14077",-0.0032
"14081",-0.0819
"14082",0.0403
"14083",-0.0293
"14084",0.0073
"14085",-0.1336
"14086",0.2156
"14087",0.082
"14088",-0.0271
"14089",-0.3117
"14102",0.7483
"14103",0.8028
"14104",0.1316
"14105",-0.1562
"14106",0.1464
"14107",-0.0862
"14109",-0.0337
"14113",0.0358
"14114",-0.0591
"14115",-0.2039
"14118",0.0192
"14119",0.4284
"14121",0.2689
"14123",0.031
"14127",0.1054
"14128",0.0253
"14129",-0.1977
"14130",-0.1384
"14131",0.0308
"14132",-0.0191
"14133",0.855
"14137",-0.0846
"14148",-0.0093
"14149",0.0423
"14151",-0.0263
"14154",0.0608
"14155",0.0158
"14156",0.0858
"14158",-0.0256
"14159",0.2548
"14160",-0.4661
"14161",0.5966
"14163",0.0716
"14164",-0.0379
"14165",0.237
"14166",0.1999
"14167",-0.1249
"14168",-0.0306
"14169",-0.2031
"14171",0.1733
