"","GSE184615_enrichment"
"12408",0.2326
"12409",0.2487
"12411",0.4409
"12412",1.4789
"12416",2.5344
"12417",1.2633
"12418",1.6218
"12419",0.4308
"12421",0.3041
"12424",0.4954
"12426",1.4389
"12427",-1.4912
"12428",2.514
"12442",-0.8944
"12443",2.8292
"12444",1.5679
"12445",-1.4376
"12447",-0.6744
"12448",0.6046
"12449",0.9165
"12450",-1.1722
"12452",-1.2014
"12453",1.3387
"12454",0.4388
"12455",-0.7596
"12457",-0.7591
"12460",-0.2589
"12461",-0.5335
"12462",-0.4057
"12464",-0.4869
"12465",-0.8869
"12466",0.1593
"12467",2.4533
"12468",-0.3607
"12469",0.5026
"12475",-1.3989
"12476",0.2716
"12479",1.0262
"12483",-0.5177
"12484",4.0948
"12488",1.3687
"12489",-2.0662
"12490",-0.8225
"12491",1.9908
"12492",-0.6689
"12493",0.7281
"12494",1.0871
"12495",0.1486
"12496",-1.7161
"12497",-0.2618
"12499",-0.6388
"12503",0.4909
"12505",2.567
"12506",-0.8794
"12508",0.5344
"12509",0.3034
"12511",-0.3916
"12512",1.6903
"12514",2.3079
"12516",0.1947
"12517",0.5504
"12518",-0.1318
"12519",-0.2025
"12520",1.8303
"12521",1.1439
"12522",-3.0745
"12523",-0.498
"12524",2.0645
"12527",1.6525
"12530",-1.1262
"12531",-0.9287
"12532",1.2845
"12534",1.572
"12537",-0.3712
"12539",-1.1255
"12540",1.5264
"12544",-1.7134
"12545",-1.3142
"12549",0.6815
"12550",1.0329
"12552",1.0207
"12554",2.6503
"12555",-1.3115
"12558",1.9326
"12560",0.4342
"12561",2.1692
"12562",1.7075
"12563",1.7792
"12564",-1.2683
"12565",-0.5422
"12566",0.4453
"12567",1.232
"12568",0.8109
"12569",-0.015
"12570",0.6531
"12571",1.9093
"12572",0.6028
"12575",2.7756
"12576",0.9681
"12577",0.9022
"12579",0.1569
"12580",0.2261
"12581",-2.0119
"12583",0.0298
"12585",0.123
"12587",1.9202
"12589",1.2372
"12593",-3.2345
"12606",-1.9299
"12607",0.0041
"12608",-1.3714
"12609",-0.4683
"12611",-1.4105
"12614",1.4218
"12615",0.864
"12616",-0.7447
"12617",-1.7152
"12626",-0.432
"12628",1.9457
"12631",1.5511
"12632",0.9832
"12633",-0.4218
"12638",-0.2225
"12642",0.053
"12648",-1.1241
"12649",0.7836
"12651",-0.7404
"12652",0.7525
"12653",-1.1842
"12654",-1.193
"12655",1.2322
"12659",-0.3492
"12660",-1.067
"12661",2.8649
"12662",-0.2468
"12663",3.1933
"12667",-2.843
"12669",0.1998
"12671",1.3604
"12672",0.7652
"12675",-1.2083
"12683",-0.0718
"12684",-0.7555
"12695",-1.0224
"12696",-3.5653
"12700",1.4136
"12702",0.3499
"12703",0.0142
"12704",0.6625
"12705",-0.2382
"12709",-0.3487
"12716",-0.1225
"12721",0.0529
"12722",0.6082
"12723",-2.3751
"12724",-0.2533
"12725",-0.3832
"12727",0.0323
"12728",2.0734
"12729",0.1288
"12737",1.8554
"12738",0.4697
"12741",1.9121
"12745",1.24
"12747",-0.0859
"12748",-0.1449
"12750",0.4347
"12751",0.0139
"12752",-0.7636
"12753",0.4482
"12757",-0.7036
"12759",1.4061
"12763",0.3725
"12764",1.3051
"12767",-0.1628
"12768",1.5953
"12769",1.4441
"12772",0.3395
"12774",-0.1478
"12777",-1.3228
"12778",-0.2035
"12785",-1.3434
"12793",0.3259
"12794",-0.7849
"12795",0.2423
"12796",1.0544
"12797",3.0804
"12798",0.9954
"12799",2.3414
"12801",2.4165
"12802",-1.5507
"12803",0.0967
"12804",-0.6899
"12805",1.9342
"12807",-1.0038
"12808",0.967
"12810",1.1897
"12812",-1.2303
"12813",0.0029
"12814",1.8817
"12815",-1.2329
"12816",-1.0889
"12817",-0.2043
"12818",0.5376
"12819",2.1955
"12822",1.9019
"12823",0.9767
"12824",-1.4255
"12825",5.4675
"12826",7.2965
"12827",3.4207
"12828",0.148
"12829",-0.2409
"12830",5.4035
"12831",1.5634
"12832",2.9581
"12833",1.8827
"12834",2.0746
"12835",2.2346
"12836",-0.0078
"12837",0.6325
"12839",1.9982
"12840",0.6765
"12841",0.753
"12842",5.5492
"12843",2.8933
"12845",1.2655
"12846",1.0495
"12847",-0.8253
"12848",-0.3358
"12850",-0.0767
"12854",-1.8731
"12856",-0.0321
"12857",-0.1213
"12858",-1.0251
"12859",-0.0374
"12861",-0.9231
"12862",-0.3522
"12864",0.4671
"12865",1.8355
"12866",0.5812
"12867",1.2624
"12868",-0.1479
"12869",0.3734
"12870",1.8714
"12874",0.2306
"12877",-2.2814
"12879",-2.0826
"12889",0.6315
"12890",-1.6662
