"","GSE184615_enrichment"
"12724",-0.02
"12725",-0.0182
"12727",0.002
"12728",0.2477
"12729",0.0095
"12737",0.8103
"12738",0.6823
"12741",0.3323
"12745",0.1461
"12747",-0.0163
"12748",-0.0198
"12750",0.0562
"12751",0.0015
"12752",-0.1201
"12753",0.0238
"12757",-0.0447
"12759",0.1254
"12763",0.2366
"12764",0.0795
"12767",-0.0303
"12768",0.8834
"12769",1.0485
"12772",0.2335
"12774",-0.0205
"12777",-0.6873
"12778",-0.0272
"12785",-0.0842
"12793",0.025
"12794",-0.0792
"12795",0.0365
"12796",0.7438
"12797",1.5537
"12798",0.1947
"12799",0.4447
"12801",0.1915
"12802",-0.9049
"12803",0.0284
"12804",-0.0912
"12805",0.0952
"12807",-0.0744
"12808",0.2804
"12810",0.4965
"12812",-0.1089
"12813",0.0017
"12814",0.4568
"12815",-0.1169
"12816",-0.2919
"12817",-0.0801
"12818",0.1757
"12819",0.5516
"12822",0.5053
"12823",0.1065
"12824",-0.598
"12825",1.9156
"12826",0.6274
"12827",0.4399
"12828",0.1001
"12829",-0.1437
"12830",1.2821
"12831",0.4764
"12832",0.6966
"12833",0.644
"12834",0.7186
"12835",0.6504
"12836",-0.0042
"12837",0.5935
"12839",1.4232
"12840",0.2895
"12841",0.3628
"12842",1.1743
"12843",0.7725
"12845",0.6397
"12846",0.0953
"12847",-0.0381
"12848",-0.0222
"12850",-0.0107
"12854",-0.3184
"12856",-0.0036
"12857",-0.0107
"12858",-0.0699
"12859",-0.0028
"12861",-0.0697
"12862",-0.0941
"12864",0.0323
"12865",0.7447
"12866",0.0538
"12867",0.0931
"12868",-0.011
"12869",0.3327
"12870",0.324
"12874",0.0105
"12877",-0.2165
"12879",-0.4007
"12889",0.0545
"12890",-0.1441
"12891",0.0166
"12892",0.0153
"12894",-0.0481
"12895",1.1982
"12896",0.0889
"12902",0.8643
"12903",-0.7952
"12904",0.3374
"12905",-0.0781
"12908",-0.0111
"12909",-0.1552
"12912",-0.0348
"12913",0.0185
"12914",0.0479
"12915",0.1429
"12916",0.1041
"12918",0.4397
"12919",-0.1969
"12921",-0.0359
"12922",0.8075
"12925",-0.0352
"12927",-0.0743
"12928",-8e-04
"12929",-0.1048
"12931",-0.1858
"12933",0.1136
"12934",0.0769
"12936",-0.1569
"12937",0.6029
"12939",0.0123
"12941",0.2261
"12942",-0.4866
"12943",0.017
"12946",0.1991
"12950",0.2456
"12952",-0.3988
"12953",-0.156
"12955",-0.0115
"12959",0.2701
"12960",0.3148
"12962",0.4591
"12964",-0.5395
"12971",0.2198
"12972",-0.0183
"12974",5e-04
"12977",-0.1312
"12978",0.1195
"12982",0.3527
"12983",0.3666
"12984",0.8117
"12986",0.088
"12988",-0.0486
"12995",0.0098
"13000",-0.1681
"13001",-0.1244
"13002",-0.0599
"13003",0.0643
"13004",0.2114
"13006",-0.0506
"13007",-0.163
"13008",0.4417
"13010",-0.1026
"13014",0.0999
"13016",-0.1196
"13017",0.0317
"13018",-0.0686
"13019",-0.0838
"13024",0.5055
"13025",0.4013
"13026",-0.0465
"13030",-0.0199
"13032",0.0073
"13033",0.025
"13036",0.186
"13038",0.681
"13039",0.1187
"13040",-0.2981
"13043",-0.0957
"13046",-0.0022
"13047",0.2359
"13048",0.3978
"13051",0.0012
"13052",0.5676
"13056",0.1971
"13057",-0.1895
"13058",0.7227
"13063",0.069
"13070",0.1126
"13076",0.3382
"13078",0.2157
"13082",0.6856
"13107",0.5819
"13110",0.114
"13113",-0.1709
"13115",-0.0259
"13116",0.0852
"13121",0.2465
"13123",-0.2153
"13131",-0.0736
"13132",0.5027
"13134",-0.1708
"13135",0.1018
"13136",0.2829
"13138",0.1778
"13139",-0.3111
"13143",0.5587
"13144",0.1242
"13163",-0.0517
"13164",0.044
"13166",-0.5054
"13167",0.1653
"13168",0.0314
"13169",0.0817
"13170",-0.138
"13171",0.0954
"13175",0.177
"13176",0.1975
"13177",-0.1785
"13178",-0.0106
"13179",0.8534
"13180",0.0697
"13185",-0.0447
"13190",-0.3957
"13191",-0.0261
"13193",0.6025
"13194",0.0311
"13195",0.2139
"13196",0.1776
"13197",0.3772
"13198",-0.1232
"13199",-0.1954
"13200",0.0058
"13202",-0.1015
"13204",-0.0072
"13205",-0.0106
"13206",0.7077
"13207",-0.0334
"13209",-9e-04
"13211",0.0335
"13244",0.0809
"13340",-0.2636
"13345",-0.1936
"13346",0.3916
"13347",0.0048
"13349",0.0372
"13350",-0.1286
"13353",0.1215
"13356",0.0267
"13358",0.2151
"13360",0.2684
"13361",-0.1413
"13363",0.7117
"13367",-0.0188
"13368",-0.3197
"13371",0.0683
"13382",0.0442
"13383",0.0484
"13384",-0.0105
"13385",0.0396
"13386",1.6929
"13388",-0.2782
"13389",0.3821
"13390",-0.0944
"13392",-0.0106
"13395",0.0224
"13396",-0.015
"13400",0.2044
"13401",0.0903
"13405",0.0047
"13406",0.1307
"13411",0.1193
"13417",-0.3986
"13418",-0.1698
"13419",0.0803
"13423",0.2779
"13426",-0.0143
"13427",0.044
"13429",-0.0336
"13430",9e-04
"13433",0.0924
"13434",0.1989
"13435",0.4654
"13436",0.5122
"13437",0.2203
"13445",0.0417
"13446",-0.0157
"13447",-0.187
"13448",-0.3722
"13476",0.0858
"13478",0.0867
"13480",-0.0265
"13481",0.119
"13482",0.6166
"13483",-0.0522
"13486",0.0647
"13488",0.3456
"13489",-0.4952
"13492",-0.3483
"13494",-0.0123
"13495",0.0062
"13496",0.2517
"13497",0.0303
"13498",0.1133
"13506",0.3134
"13507",1.1037
"13508",0.1364
"13511",-0.3286
"13516",-0.6689
"13518",0.0886
"13521",-0.0724
"13524",0.393
"13527",0.0447
"13528",-0.0902
"13537",-0.2914
"13542",-0.0909
"13543",-4e-04
"13544",0.3002
"13548",-0.0535
"13549",0.1272
"13555",0.3387
"13557",-0.1859
"13559",-0.0565
"13560",-0.1181
"13589",0.1303
"13590",-0.4921
"13591",-0.0095
"13592",0.3334
"13593",-0.6719
"13595",0.1132
"13599",0.4275
"13601",0.5163
"13603",0.4215
"13605",0.1989
"13607",0.2163
"13609",0.0654
"13610",0.2113
"13611",-0.595
"13612",-0.0466
"13614",0.2408
"13616",0.0176
"13617",-0.1102
"13618",0.2121
"13619",0.0677
"13626",-0.1334
"13628",-3e-04
"13631",-0.0494
"13636",-0.0529
"13637",0.1622
"13638",-0.0785
"13639",-0.8928
"13640",0.2345
"13641",0.0554
"13642",0.2286
"13643",0.0816
"13644",0.0648
"13645",-0.6772
"13649",0.1609
"13650",0.0751
"13653",0.3755
"13654",0.555
"13655",6e-04
"13656",-0.0555
"13660",-0.1935
"13663",-0.0496
"13664",0.0016
"13665",0.1179
"13666",-6e-04
"13667",0.154
"13669",-0.0493
"13680",0.098
"13681",-0.0406
"13682",0.0327
"13684",-0.0397
"13685",0.1236
"13688",0.1511
"13690",0.0948
"13709",0.008
"13711",0.6471
"13712",-0.1352
"13713",-0.2141
"13714",-0.1342
"13716",-0.1051
"13717",1.2086
"13722",-0.084
"13723",0.0992
"13726",-0.178
"13728",-0.0119
"13730",0.3818
"13731",0.1676
"13732",0.6305
"13733",0.2533
"13796",0.0686
"13797",-0.2191
"13799",0.0162
"13800",-0.083
"13803",-0.1738
"13804",-0.0113
"13805",0.2467
"13806",-0.0036
"13807",0.0176
"13808",-0.404
"13809",-0.0387
"13813",0.2864
"13819",0.0779
"13821",-0.0742
"13822",0.1051
"13823",-0.0342
"13824",0.3144
"13829",-0.0611
"13830",-0.1125
"13831",-0.1706
"13836",-0.2181
"13837",0.081
"13838",-0.146
"13839",0.0017
"13840",-0.0752
"13841",-0.3692
"13842",0.0599
"13844",0.1555
"13845",-0.2367
"13846",0.1723
"13848",0.0637
"13849",-0.1806
"13850",-0.0945
"13852",0.2829
"13853",-0.0298
"13854",-0.048
"13855",-0.0872
"13857",-0.592
"13858",0.035
"13859",-0.0457
"13860",0.0149
"13861",1.0162
"13864",-0.0133
"13865",0.1554
"13866",0.0695
"13867",0.2038
"13869",0.0936
"13870",-0.109
"13871",0.0546
"13872",0.0323
"13875",-0.1673
"13876",-0.1413
"13877",-0.0256
"13885",-0.0339
"13929",0.0424
"13972",-0.2069
"13982",0.0398
"13983",0.9226
"13990",-0.0078
"13992",0.0448
"13996",0.4751
"13998",-0.0168
"14000",0.0908
"14004",0.017
"14007",0.1325
"14009",0.0836
"14011",0.1203
"14012",-0.2259
"14013",0.2085
"14017",-0.2307
"14020",-0.0653
"14025",-0.0152
"14026",0.0405
"14027",0.1479
"14030",-0.0429
"14038",-0.2453
"14042",0.014
"14043",-0.0119
"14048",0.0219
"14049",0.4341
"14050",0.1264
"14051",0.05
"14055",-0.2498
"14056",-0.202
"14057",-0.0912
"14062",0.1884
"14064",-0.063
"14066",0.0357
"14067",0.6544
"14069",-0.0805
"14070",0.0325
"14073",-0.0998
"14077",0.1129
"14081",0.0413
"14082",-0.3808
"14083",-0.1006
"14084",0.0226
"14085",-0.1555
"14086",0.2254
"14087",0.5258
"14088",-0.2006
"14089",0.5327
"14102",0.8183
"14104",-0.0036
"14105",-0.1059
"14106",-1.2348
"14107",0.1594
"14109",-0.034
"14113",-0.1174
"14114",0.1616
"14115",0.2412
"14118",0.1762
"14119",0.17
"14123",0.015
"14127",0.147
"14128",-0.2073
"14129",-0.0214
"14130",0.2886
"14131",-0.1387
"14132",0.278
"14137",0.0151
"14148",0.0146
"14149",0.0387
"14151",0.0184
"14154",-0.0724
"14155",0.05
"14156",-0.2054
"14158",-0.0441
"14159",0.4095
"14160",0.4948
"14163",0.0206
"14164",0.0694
"14165",-0.2463
"14166",0.1711
"14167",0.119
"14168",0.106
"14169",0.0683
"14172",-0.4375
"14173",-0.151
"14176",-0.1504
"14178",0.213
"14180",-0.1509
"14181",0.9527
"14182",0.095
"14183",-0.277
"14184",-0.1717
"14187",0.2182
"14190",0.557
"14194",0.0738
"14198",-0.0356
"14199",0.2021
"14200",-0.0079
"14201",0.5838
"14202",-0.4346
"14204",-0.9681
"14205",0.5304
"14208",-0.0629
"14211",0.0502
"14218",-0.0189
"14219",0.6232
"14221",0.2024
"14225",0.0708
"14226",-0.0234
"14227",-0.0998
"14228",-0.096
"14229",-0.2439
"14230",0.0986
"14231",-0.285
"14232",-0.0179
"14234",0.2504
"14235",0.58
"14236",-0.212
"14238",-0.222
"14239",-0.2795
"14245",-0.1351
"14247",0.1431
"14248",-0.0259
"14251",-0.0855
"14252",0.0708
"14254",-0.2206
"14255",-0.2085
"14256",0.2506
"14257",-0.3087
"14260",-0.2323
"14261",0.5389
"14263",0.2399
"14264",0.5856
"14265",0.0276
"14266",0.0243
"14268",0.3788
"14269",-0.0568
"14270",0.0308
"14272",0.0777
"14275",0.0551
"14276",0.4252
"14281",0.7972
"14282",-0.0332
"14284",0.1535
"14287",0.0442
"14296",-0.3012
"14297",-0.0754
"14299",-0.0318
"14300",-0.1105
"14302",0.5605
"14312",0.1106
"14313",0.1249
"14314",0.2546
"14319",-0.3226
"14325",0.0324
"14339",-0.2307
"14344",-0.6364
"14345",0.1006
"14348",0.1021
"14349",-0.0068
"14356",-0.0477
"14357",0.0909
"14359",-0.0947
"14360",0.2044
"14362",0.2086
"14365",0.1407
"14366",0.1891
"14367",0.1905
"14368",0.3144
"14369",-0.1548
"14370",-0.2029
"14371",-0.2183
"14373",-0.1246
"14375",0.0184
"14376",3e-04
"14381",-0.2104
"14385",0.1228
"14387",0.1235
"14388",0.0822
"14389",0.0087
"14390",0.0387
"14391",0.011
"14394",0.0211
"14395",0.2727
"14396",0.1379
"14397",-0.0281
"14399",-3.4739
"14400",0.1476
"14401",-0.0043
"14402",0.0265
"14403",-0.4122
"14405",-0.0926
"14406",-0.0076
"14407",0.1059
"14409",-0.8151
"14411",0.6307
"14412",0.2201
"14415",-0.1473
"14417",0.0047
"14419",-1.3464
"14420",-0.0093
"14421",-0.1079
"14423",0.0384
"14425",0.1683
"14426",0.1298
"14427",1.2432
"14428",0.5523
"14430",8e-04
"14431",0.3626
"14432",0.2478
"14433",0.0264
"14450",-0.0879
"14451",0.087
"14453",-0.1107
"14455",-0.3379
"14456",0.0758
"14457",0.1182
"14461",-0.01
"14466",-0.0668
"14467",-0.0172
"14469",-0.2235
"14470",-0.022
"14479",0.0553
"14489",0.1148
"14528",-0.6479
"14533",0.0164
"14534",0.0243
"14536",0.0278
"14537",0.0674
"14538",0.0557
"14544",0.1891
"14545",0.0565
"14547",-0.085
"14548",0.0169
"14555",0.0131
"14559",2.928
"14560",0.3741
"14561",0.006
"14563",-1.2066
"14566",0.1789
"14567",0.0014
"14569",-0.0456
"14570",0.1401
"14571",0.026
"14579",0.4037
"14580",0.0134
"14583",-0.0178
"14584",-0.0343
"14585",0.0441
"14586",-0.0341
"14588",-0.1073
"14590",0.086
"14593",-0.035
"14594",0.0255
"14595",0.2775
"14598",0.4779
"14600",-0.1896
"14605",-0.0408
"14608",-0.0636
"14609",0.1845
"14611",1.5615
"14612",0.1948
"14613",0.9075
"14615",0.2559
"14617",0.0844
"14618",-0.0872
"14619",0.3963
"14623",0.0981
"14628",-0.0572
"14629",-0.0175
"14630",-0.0022
"14632",0.49
"14633",0.1074
"14634",0.1542
"14635",0.2679
"14645",-0.0292
"14651",-0.0851
"14652",0.1407
"14654",-0.1259
"14657",-0.7155
"14658",0.0015
"14660",0.0032
"14661",0.0131
"14664",0.0126
"14667",0.1759
"14670",-0.046
"14672",-0.0931
"14673",0.0305
"14674",-0.0395
"14675",0.1556
"14676",-0.1028
"14677",0.0501
"14678",-0.0027
"14679",0.0277
"14680",-0.0983
"14681",0.1109
"14682",-0.0075
"14687",0.0571
"14688",0.0756
"14693",-0.0055
"14694",0.0335
"14696",0.5186
"14697",-0.036
"14700",-0.1928
"14701",0.1945
"14702",-0.0407
"14704",0.3348
"14705",0.0517
"14706",0.229
"14707",0.0446
"14708",0.0241
"14709",-0.1896
"14710",-0.1224
"14712",-0.0161
"14718",-0.0843
"14719",-0.0244
"14723",0.087
"14724",0.1542
"14725",0.3438
"14726",0.1111
"14729",-0.3157
"14731",0.0628
"14732",0.0563
"14733",-0.173
"14734",0.4279
"14735",0.042
"14738",-0.2147
"14739",-0.203
"14745",0.316
"14747",-0.3933
"14748",0.0403
"14751",0.0011
"14755",0.0811
"14756",-0.0126
"14758",-0.0317
"14760",-0.0187
"14761",0.0073
"14763",-0.1773
"14766",0.1253
"14768",-0.1472
"14772",-0.0955
"14773",0.086
"14775",0.0427
"14778",0.1554
"14782",-0.1068
"14783",0.1242
"14784",0.0141
"14786",0.251
"14787",0.1026
"14788",0.0427
"14789",-0.3725
"14790",0.0478
"14791",-0.1364
"14792",0.0668
"14793",-0.1838
"14794",-0.3704
"14797",-0.0719
"14799",-0.1333
"14800",-0.0424
"14802",0.1556
"14803",0.0538
"14804",-0.0281
"14805",0.2141
"14806",0.0196
"14807",0.2112
"14809",0.0644
"14810",-0.0216
"14811",-0.0651
"14812",0.0536
"14813",-0.0924
"14814",0.1152
"14815",-0.0958
"14816",-0.2583
"14823",0.1948
"14824",0.0549
"14827",0.0403
"14828",-0.0524
"14829",0.117
"14852",0.1078
"14853",-0.0092
"14854",0.1666
"14858",0.9131
"14859",-0.0083
"14860",-0.1639
"14862",0.0017
"14863",0.2424
"14865",0.2261
"14866",-0.0148
"14867",-0.1948
"14869",0.03
"14870",-0.1428
"14871",-0.2005
"14872",-0.6778
"14873",0.1504
"14874",-0.0855
"14884",0.0582
"14885",0.0307
"14886",0.0723
"14894",0.0221
"14897",0.0644
