"","GSE1833_environmental enrichment"
"117039",-0.4165
"117041",0.3916
"117042",0.4158
"117044",0.207
"117045",-0.06385
"117048",-0.5318
"117049",0.7478
"117051",-0.9252
"117052",0.2234
"117054",1.3171
"117055",0.237
"117056",0.2137
"117057",0.6941
"117059",0.2931
"117061",-0.4797
"117063",-0.425
"117064",-0.5859
"117088",0.5225
"117089",-0.6332
"117092",-0.5924
"117096",-0.148
"117098",1.165
"117099",-0.1199
"117100",-0.3831
"117101",-0.18995
"117103",0.7556
"117104",0.7517
"117105",-0.7852
"117106",1.4879
"117107",-0.8506
"117108",0.3779
"117130",0.8168
"117140",-1.4678
"117152",-0.2214
"117179",0.3768
"117180",2.139
"117182",-0.7344
"117183",0.7021
"117184",-0.3608
"117185",0.7755
"117186",-1.0331
"117232",-0.889
"117240",-0.5259
"117241",-0.017
"117242",-0.8297
"117243",0.094
"117254",0.5865
"117255",-0.4488
"117256",-1.2275
"117257",1.0029
"117258",0.1078
"117259",0.81375
"117260",0.5105
"117261",0.4346
"117262",0.1334
"117263",-1.0067
"117264",0.5366
"117265",-0.939
"117267",-1.2764
"117268",0.6358
"117269",-0.534
"117270",0.0323
"117271",-0.9552
"117272",0.7529
"117273",-0.2356
"117274",0.3472
"117276",0.6063
"117277",-0.8504
"117278",0.1937
"117279",-0.0362
"117280",1.60545
"117281",-0.3631
"117282",-0.20955
"117284",-1.4464
"117287",0.8246
"117505",1.6784
"117512",-0.5154
"117513",-1.1757
"117514",3.1603
"117515",1.019
"117516",0.02
"117518",-1.0067
"117519",-0.3151
"117520",-0.1365
"117522",-0.1641
"117523",-0.1263
"117526",0.3761
"117533",0.7656
"117536",0.8733
"117537",-0.6528
"117538",-0.2313
"117539",-1.0712
"117540",-1.5322
"117541",-0.7286
"117542",1.8654
"117543",1.0746
"117544",-0.1664
"117547",-0.6133
"117548",0.2271
"117549",1.5914
"117551",-0.1656
"117552",0.6034
"117553",0.4831
"117554",-0.9062
"117556",-0.8041
"117557",0.7448875
"117558",0.3452
"117559",1.0913
"117560",0.8653
"117582",0.2282
"117596",-0.68055
"117855",-1.2532
"117903915",0.8067
"117955",-0.9225
"120097610",0.1282
"124451",-1.7206
"124461",0.5972
"140433",-0.3034
"140447",0.585
"140448",-0.2271
"140473",2.1332
"140544",0.8188
"140547",0.0862
"140568",0.0256
"140581",-0.8366
"140583",-0.3674
"140585",-0.02685
"140590",0.2405
"140592",-1.243
"140593",0.4943
"140594",-0.0579
"140595",0.7922
"140607",0.4322
"140608",0.24105
"140610",1.2996
"140638",-1.4585
"140639",-0.7584
"140654",0.7845
"140656",0.6301
"140657",-0.6241
"140661",-0.5947
"140662",-0.1738
"140665",0.6641
"140666",-0.11355
"140668",0.1051
"140669",0.2839
"140670",0.60875
"140671",-0.1441
"140673",0.8037
"140674",0.3045
"140675",1.0178
"140693",0.4304
"140694",-0.157
"140720",0.821
"140722",-0.2819
"140724",0.5683
"140725",-0.3118
"140726",-0.6967
"140727",0.8208
"140728",-1.116
"140729",-0.3819
"140734",-0.1883
"140860",0.143
"140866",1.815
"140868",0.1734
"140908",-0.3464
"140910",1.206
"140914",-0.2334
"140915",0.5604
"140922",0.4198
"140923",-0.0663
"140924",0.8669
"140925",1.5029
"140926",-0.7591
"140928",1.7718
"140929",-0.9084
"140930",0.7344
"140931",1.3391
"140932",0.7596
"140933",0.1355
"140934",0.821
"140935",0.9274
"140936",1.0147
"140937",0.46855
"140938",1.1774
"140939",-0.2649
"140940",-0.09575
"140941",-0.7811
"140942",-0.0054
"140943",-0.69585
"140944",-0.1661
"140945",0.10855
"140946",1.1007
"154968",0.185
"154985",-0.0038
"155012",-0.3898
"155140",-0.456
"155151",0.6874
"155173",-0.0876
"155183",0.233
"155192",-0.754
"155205",0.229
"155268",-1.0716
"155423",1.0944
"155696",-0.1378
"155812",-0.2086
"155918",1.2444
"156117",0.8271
"156275",-0.1112
"156435",0.4455
"156726",-1.2522
"156767",-0.1809
"156873",2.1241
"157074",0.0784
"161452",0.6514
"161475",-0.0903
"161476",1.2192
"170465",0.899
"170496",2.2152
"170501",-1.004
"170512",1.3626
"170520",-2.4957
"170538",1.0346
"170551",-1.0053
"170566",-0.8002
"170567",2.065
"170568",0.7496
"170570",0.2294
"170573",-1.3001
"170577",-0.3035
"170578",0.3585
"170579",-0.5034
"170580",0.2881
"170582",0.9908
"170583",1.5353
"170587",-0.5655
"170588",0.4703
"170630",-1.5979
"170632",1.5231
"170633",-0.3148
"170634",-2.2463
"170635",-0.8268
"170636",0.9959
"170637",0.3728
"170641",0.4917
"170667",-1.2903
"170668",-0.4982
"170670",-0.7539
"170673",-0.7215
"170698",0.38995
"170699",1.8622
"170700",1.9002
"170704",1.6006
"170714",0.468
"170724",0.0724
"170739",-0.2051
"170751",-0.4776
"170796",-0.4722
"170808",-0.1107
"170816",-0.6599
"170818",-1.0313
"170819",-0.3707
"170820",-0.7896
"170821",0.634
"170824",-0.03
"170837",-0.5372
"170840",-0.95195
"170841",-0.2121
"170842",1.3313
"170843",-1.6362
"170845",0.2121
"170847",2.1654
"170848",-0.0094
"170849",1.2708
"170851",-0.0704
"170895",0.8581
"170896",0.7666
"170897",0.3347
"170898",0.6646
"170899",-0.072
"170900",1.6131
"170902",-0.8736
"170904",1.0771
"170905",-1.8875
"170906",0.5566
"170907",0.0579
"170908",-0.6367
"170909",0.7512
"170910",-0.9224
"170911",-0.79235
"170912",1.8488
"170913",0.33135
"170914",-0.709
"170916",0.3046
"170917",-0.381
"170919",0.5327
"170920",-1.10975
"170922",-1.0572
"170923",-0.0134
"170925",-0.2894
"170926",0.9998
"170927",-0.5747
"170928",-1.4887
"170929",1.7402
"170933",1.0363
"170943",-1.2167
"170944",0.3858
"170945",1.0052
"170946",-0.1548
"170955",0.4471
"170956",0.0381
"171009",-1.2691
"171010",1.2595
"171011",1.9897
"171015",1.5513
"171018",-0.4925
"171026",0.383
"171027",0.5741
"171028",1.1476
"171039",-0.557
"171040",-0.4644
"171041",0.28455
"171043",0.0064
"171044",0.2732
"171045",1.125
"171046",0.2502
"171047",0.8013
"171048",1.3652
"171049",-1.2477
"171050",0.0255
"171051",-0.7292
"171052",0.2377
"171053",-0.919
"171054",0.9975
"171055",1.1185
"171056",-0.6164
"171057",0.202
"171058",0.295
"171059",1.641
"171060",0.0412
"171061",0.6675
"171062",-1.5427
"171063",-0.6715
"171064",0.0646
"171068",0.2452
"171069",-0.8711
