"","GSE1833_environmental enrichment"
"171045",0.0577
"171046",0.0188
"171047",0.0347
"171048",0.1089
"171049",-0.0797
"171050",0.0016
"171051",-0.0578
"171052",0.0133
"171053",-0.0541
"171054",0.0548
"171055",0.0569
"171056",-0.0644
"171057",0.0135
"171058",0.0296
"171059",0.0963
"171060",0.002
"171061",0.0421
"171062",-0.0884
"171063",-0.039
"171064",0.0029
"171068",0.0147
"171069",-0.0393
"171070",-0.1002
"171071",0.1226
"171072",-0.0325
"171073",0.0773
"171074",0.0759
"171075",0.0046
"171078",0.0621
"171079",-0.1133
"171080",-0.0666
"171081",0.0246
"171082",0.0205
"171083",-0.0189
"171084",-0.0562
"171085",-0.1038
"171086",-0.0284
"171087",0.0343
"171088",0.0502
"171090",-0.0585
"171091",-7.694e-05
"171092",-0.07265
"171093",-0.0562
"171096",0.2015
"171097",-0.028
"171099",-0.03005
"171100",-0.0037
"171101",-0.146
"171102",-0.073
"171103",0.0514
"171104",-0.0385
"171105",-0.0039
"171106",-0.1007
"171107",0.0311
"171108",0.0064
"171109",-0.0054
"171111",-0.1462
"171112",0.0491
"171113",-0.0093
"171114",-0.0079
"171115",0.0712
"171116",0.0195
"171118",-0.0449
"171119",-0.1273
"171120",0.0817
"171121",0.0909
"171122",0.0487
"171123",-0.0624
"171124",0.0455
"171125",-0.0077
"171126",0.0416
"171128",-0.0442
"171129",0.0618
"171131",-0.0199
"171133",-0.0226
"171134",0.0328
"171135",-0.0497
"171136",-0.0071
"171137",0.01125
"171138",-0.0132
"171139",0.0543
"171140",0.148
"171142",0.0099
"171143",-0.0054
"171144",0.0247
"171145",0.0247
"171146",-0.0516
"171147",0.0034
"171148",-0.0513
"171149",-0.0102
"171151",-0.0595
"171152",-0.1685
"171154",-0.04
"171155",0.0415
"171158",-0.0655
"171159",-0.0503
"171160",0.0298
"171161",0.0244
"171162",-0.0119
"171163",-0.0102
"171164",0.065
"171178",-0.022
"171287",0.06545
"171290",-0.004
"171293",0.0157
"171296",-0.0357
"171297",-0.05945
"171302",0.0562
"171305",0.0083
"171329",0.0573
"171341",0.1581
"171347",-0.0352
"171350",0.0514
"171352",0.0601
"171356",-0.0201
"171358",-0.0126
"171365",0.0046
"171366",-0.1114
"171369",0.0398
"171371",-0.0223
"171373",-0.0243
"171375",0.0178
"171378",-0.0698
"171379",0.0252
"171380",-0.0092
"171381",0.1038
"171384",-0.0351
"171385",0.0474
"171386",-0.0221
"171387",0.0201
"171390",0.0685
"171393",-0.0485
"171394",0.1159
"171396",-0.0403
"171397",0.0296
"171398",-0.0239
"171400",0.1714
"171402",0.081
"171403",-0.0184
"171406",0.0341
"171407",-0.0762
"171408",0.0099
"171409",-0.0431
"171410",0.0516
"171411",0.2152
"171412",-0.0487
"171413",-0.03695
"171414",-9e-04
"171415",0.0211
"171432",0.0022
"171433",-0.0043
"171434",0.0836
"171435",-0.0244
"171436",-0.0273
"171437",0.00265
"171438",-0.1278
"171439",-0.2423
"171440",0.0462
"171441",0.1221
"171442",0.0184
"171443",-0.0937
"171444",-0.0066
"171445",-0.0819
"171447",-0.02425
"171449",-0.0045
"171451",0.0199
"171452",-0.0405
"171454",-0.0199
"171455",0.0295
"171458",-0.0408
"171459",-0.0619
"171460",0.0561
"171493",0.0283
"171494",-0.0824
"171495",0.0485
"171496",0.0069
"171497",0.0306
"171498",0.0257
"171499",0.0573
"171500",-0.00676666666666667
"171501",-0.0327
"171503",-0.0557
"171516",0.015
"171517",0.0215
"171518",0.0551
"171519",-0.0545
"171521",0.0015
"171522",-0.0116
"171529",0.0373
"171547",0.01025
"171548",0.0527
"171549",-0.0882
"171551",0.010075
"171552",0.05285
"171553",0.0548
"171554",-0.0369
"171556",-0.0524
"171562",0.0525
"171564",0.0158
"171565",-0.0063
"171566",0.063
"171569",0.0138
"171571",-0.02335
"171572",0.0172
"171573",0.0488
"171574",-0.02445
"171575",0.0476
"171576",-0.0881
"171577",0.0252
"171581",-0.0157
"191569",-0.0457
"191571",0.0987
"191572",-0.0426
"191573",-0.245
"191574",-0.047
"191575",0.0153
"191576",-0.03
"191595",0.0957
"192107",-0.0062
"192109",-0.0462
"192110",-0.1472
"192117",0.2148
"192126",-0.1233
"192129",0.0617
"192147",-0.06475
"192152",0.0330333333333333
"192153",0.0504
"192154",-0.087175
"192155",0.0105
"192172",0.0066
"192177",-0.0204
"192178",-0.02325
"192179",-0.0227
"192180",0.1186
"192181",0.0474333333333333
"192183",-0.0123
"192189",-0.1443
"192203",-0.209
"192204",0.0763
"192205",0.0479
"192206",0.077
"192208",0.0505
"192209",0.0301
"192210",0.0672
"192211",0.0729
"192213",-0.1013
"192215",-0.0363
"192218",-0.0294
"192223",0.0655
"192224",0.0072
"192225",0.0382
"192226",0.0805
"192227",0.0016
"192228",-0.0952
"192229",0.0019
"192234",-0.0443
"192235",-0.0578
"192241",0.0365
"192243",-0.059
"192245",0.0671
"192246",-0.0163
"192248",-0.1451
"192249",0.0092
"192251",0.0327
"192252",0.0915
"192253",-0.04555
"192254",-0.0556
"192256",-0.00765
"192258",-0.119
"192259",0.0237
"192260",-0.0421
"192262",0.2027
"192263",0.0132
"192267",-0.0397
"192268",-0.0698
"192269",0.0433
"192270",0.0459
"192271",-8e-04
"192272",-0.013
"192273",0.0314
"192274",0.0074
"192275",0.0347
"192276",0.0565
"192277",0.1184
"192280",-0.0339
"192348",0.0271
"192349",-0.0571
"192350",-0.0141
"192351",0.0385
"192352",0.069
"192356",-0.0035
"192359",-0.01355
"192360",0.1504
"192361",0.0383333333333333
"192363",0.0128
"192645",-0.0361
"192647",-0.0057
"192648",0.0194
"192649",0.0918
"201097",0.0335
"207113",-0.0064
"207119",0.0396
"207120",-0.08
"207122",-0.0222
"207123",-0.0433
"24152",0.0594
"24153",0.096
"24158",0.0121
"24159",-0.0029
"24161",0.06205
"24162",-0.0456
"24163",0.015
"24165",0.0186
"24167",0.025125
"24170",0.0434
"24171",0.0056
"24172",0.0185
"24173",-0.0026
"24174",-0.0659
"24175",-0.1707
"24176",-0.0085
"24177",-0.0167
"24179",0.028
"24180",-0.01725
"24182",-0.0255
"24183",-0.00095
"24184",-0.00955
"24185",-0.1054
"24186",-0.13575
"24188",-0.1432
"24189",-0.0175
"24190",0.0169
"24191",-0.0045
"24192",0.0548
"24197",-0.0117
"24203",-0.0393
"24205",0.0843
"24206",0.039
"24207",0.042
"24208",0.0419
"24209",0.016
"24210",-0.0109
"24211",-0.0762
"24212",-0.0267
"24213",-0.1107
"24214",-0.0053
"24215",-0.04025
"24216",0.0322
"24217",0.0956
"24218",0.02375
"24221",-0.0092
"24223",0.10105
"24224",-0.0547
"24225",0.2709
"24230",0.0387
"24232",0.2847
"24235",-0.0608
"24236",-0.0384
"24239",-0.042
"24240",0.035
"24241",0.00436666666666667
"24242",0.01265
"24244",0.0503
"24245",0.113
"24246",-0.0662
"24247",0.0454
"24248",0.0696
"24249",0.0347
"24250",-0.0496
"24251",0.2203
"24252",0.0063
"24253",-0.0333
