"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"5377","1390081_at","306655","ENSRNOG00000012720","Irx4","iroquois homeobox 4",0.4766,0.9224,0.5165,-0.0606,-0.0606,-1.1771,0.2607
"5378","1370742_at","64029","ENSRNOG00000001950","Cabs1","calcium binding protein, spermatid associated 1",0.4768,0.9224,0.5167,0.0204,0.0204,0.394,0.7001
"5379","1373199_at","363494","ENSRNOG00000011513","Gla","galactosidase, alpha",0.477,0.9224,0.517,0.0063,0.0063,0.1113,0.9131
"5380","1389016_at","290864","ENSRNOG00000054863","Usp4","ubiquitin specific peptidase 4",0.4765,0.9224,0.5164,0.0095,0.0095,0.1294,0.8991
"5381","1369431_at","29750","ENSRNOG00000012037","Galnt7","polypeptide N-acetylgalactosaminyltransferase 7",0.4771,0.9224,0.5171,0.092,0.092,1.1881,0.2565
"5382","1373003_at","304582","ENSRNOG00000000702","Sart3","spliceosome associated factor 3, U4/U6 recycling protein",0.4768,0.9224,0.5167,-0.1119,-0.1119,-1.8871,0.0821
"5383","1373216_at","691849","ENSRNOG00000052869","Pierce2","piercer of microtubule wall 2",0.4769,0.9224,0.5168,-0.0515,-0.0515,-0.7369,0.4745
"5384","1370142_at","24631","ENSRNOG00000046548","Rhox5","Rhox homeobox family member 5",0.477,0.9224,0.5169,0.0451,0.0451,0.7001,0.4964
"5385","1369890_at","680174","ENSRNOG00000025519","Sval1","seminal vesicle antigen-like 1",0.4771,0.9224,0.5172,-0.0447,-0.0447,-1.182,0.2588
"5386","1371785_at","302965","ENSRNOG00000003546","Tnfrsf12a","TNF receptor superfamily member 12A",0.4767,0.9224,0.5165,-0.0536,-0.0536,-1.0239,0.3249
"5387","1374101_at","360968","ENSRNOG00000006394","Tbc1d10a","TBC1 domain family, member 10a",0.477,0.9224,0.5169,0.0375,0.0375,0.5579,0.5866
"5388","1371036_at","497815","ENSRNOG00000004067","Nrcam","neuronal cell adhesion molecule",0.4771,0.9224,0.517,-0.0231,-0.0231,-0.2661,0.7944
"5389","1373523_at","304966","ENSRNOG00000024382","Fcgr3a","Fc gamma receptor 3A",0.4763,0.9224,0.5163,0.0706,0.0706,1.0895,0.2961
"5390","1376365_at","315265","ENSRNOG00000022507","Twf1","twinfilin actin-binding protein 1",0.4772,0.9224,0.5173,-0.0375,-0.0375,-0.642,0.5323
"5391","1372476_at","286922","ENSRNOG00000020385","Fads3","fatty acid desaturase 3",0.4773,0.9224,0.5174,0.0212,0.0212,0.2282,0.8231
"5392","1367949_at","29237","ENSRNOG00000008943","Penk","proenkephalin",0.4774,0.9226,0.5175,0.0409,0.0409,0.659,0.5216
"5393","1373461_at","287446","ENSRNOG00000027628","Elp5","elongator acetyltransferase complex subunit 5",0.4776,0.9226,0.5176,-0.0931,-0.0931,-1.8155,0.0931
"5394","1368651_at","24651","ENSRNOG00000020420","Pklr","pyruvate kinase L/R",0.4777,0.9226,0.5177,-0.0742,-0.0742,-1.249,0.2341
"5395","1376880_at","299827","ENSRNOG00000005528","Tbk1","TANK-binding kinase 1",0.4777,0.9226,0.5178,-0.0672,-0.0672,-0.7482,0.4679
"5396","1389281_at","100361376","ENSRNOG00000010643","Kank2","KN motif and ankyrin repeat domains 2",0.4789,0.9235,0.5185,-0.044,-0.044,-1.0713,0.3039
"5397","1368999_a_at","79146","ENSRNOG00000004650","Begain","brain-enriched guanylate kinase-associated",0.4791,0.9235,0.5187,-0.0019,-0.0019,-0.0248,0.9806
"5398","1373984_at","306009","ENSRNOG00000009832","Slc39a14","solute carrier family 39 member 14",0.4788,0.9235,0.5184,-0.0435,-0.0435,-1.0266,0.3237
"5399","1374036_at","312538","ENSRNOG00000016316","Mcm2","minichromosome maintenance complex component 2",0.479,0.9235,0.5186,-0.0024,-0.0024,-0.027,0.9789
