,ExperimentID,ResultSetIDs,ContrastIDs,ExperimentIDs,FactorCategory,ExperimentalFactors,BaselineFactors,Subsetted,SubsetBy,Include,WrongBaseline,ResultsNotRegionSpecific,ReAnalyze
67,GSE124954,494137,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in ventral,,,,
68,GSE124954,494136,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,,,,
69,GSE124954,494136,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,,,,
70,GSE124954,494135,167854,15095,treatment,exercise,reference subject role,TRUE,dentate gyrus of hippocampal formation located in ventral,,,,
71,GSE124954,494140,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,visual cortex,,,,
72,GSE124954,494140,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,visual cortex,,,,
73,GSE124954,494139,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,visual cortex,,,,
74,GSE124954,494139,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,visual cortex,,,,
75,GSE124954,494138,167854,15095,treatment,exercise,reference subject role,TRUE,visual cortex,,,,
76,GSE96961,536509,143308,13756,treatment,enriched environment,reference subject role,FALSE,NA,,,,
77,GSE96961,536507,143304_143308,13756,"genotype,treatment","Overexpression of  SNCA [human] synuclein, alpha (non A4 component of amyloid precursor); enriched environment",,FALSE,NA,,,,
78,GSE96961,536508,143304,13756,genotype,"Overexpression of  SNCA [human] synuclein, alpha (non A4 component of amyloid precursor)",wild type genotype,FALSE,NA,,,,
79,GSE95740,523781,142724_142722,13175,"organism part,treatment",dentate gyrus of hippocampal formation with ventral; enriched environment,,FALSE,NA,,,,
80,GSE95740,523780,142722,13175,treatment,enriched environment,reference substance role,FALSE,NA,,,,
81,GSE95740,523779,142724,13175,organism part,dentate gyrus of hippocampal formation with ventral,dentate gyrus of hippocampal formation with dorsal,FALSE,NA,,,,
82,GSE29075,542064,80409,4667,treatment,exercise,reference subject role,FALSE,NA,,,,
83,GSE29075,542065,80408,4667,age,18 month,3.5 month,FALSE,NA,,,,
84,GSE29075,542066,80408_80409,4667,"age,treatment",18 month; exercise,,FALSE,NA,,,,
85,GSE36571,531360,151481,15191,treatment,exercise,inactive has role reference subject role,FALSE,NA,,,,
86,GSE36571,531361,151479,15191,strain,SAM resistant mice,senescence-accelerated prone 8 (SAMP8) mouse,FALSE,NA,,,,
87,GSE30880,512220,138704,12214,genotype,Heterozygous  Crebbp [mouse] CREB binding protein,wild type genotype,FALSE,NA,,,,
88,GSE30880,512222,138706,12214,treatment,enriched environment,reference subject role,FALSE,NA,,,,
89,GSE30880,512221,138704_138706,12214,"genotype,treatment",Heterozygous  Crebbp [mouse] CREB binding protein; enriched environment,wild type genotype; reference subject role,FALSE,NA,,,,
90,GSE208714,558731,211427,26364,treatment,exercise delivered for duration 3 min,reference subject role,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,,,,
91,GSE208714,558731,211423,26364,treatment,exercise delivered for duration 10 min,reference subject role,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,,,,
92,GSE208714,558732,211424,26364,developmental stage,P21 - P41  sexually immature stage,P35 - P41  sexually immature stage,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,,,,
93,GSE208714,558732,211425,26364,developmental stage,P21 - P27  sexually immature stage,P35 - P41  sexually immature stage,TRUE,Ammon's horn located in dorsal and located in left; Ammon's horn located in dorsal and located in left,,,,
94,GSE197754,557135,207422,25952,treatment,enriched environment (EE),reference substance role,FALSE,NA,,,,
95,GSE111271,513628,185729_185732,21099,"developmental stage,treatment",5 month  prime adult stage; enriched environment,24 month  late adult stage; reference substance role,FALSE,NA,,,,
96,GSE111271,513627,185729,21099,developmental stage,5 month  prime adult stage,24 month  late adult stage,FALSE,NA,,,,
97,GSE111271,513629,185732,21099,treatment,enriched environment,reference substance role,FALSE,NA,,,,
