"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"48",12192,12192,"ENSMUSG00000021127","Zfp36l1","zinc finger protein 36, C3H type-like 1",1e-04,0.0455,0.0023,0.3935,0.3935,4.8828,5.726e-05,0.3204,0.3204,4.0436,5e-04,0.0878,0.0878,0.9599,0.3468
"49",68481,68481,"ENSMUSG00000026566","Mpzl1","myelin protein zero-like 1",1e-04,0.0459,0.0024,0.1804,0.1804,3.1988,0.0039,0.2675,0.2675,4.8634,6.014e-05,0.0351,0.0351,0.5505,0.5871
"50",69581,69581,"ENSMUSG00000039960","Rhou","ras homolog family member U",1e-04,0.0462,0.0024,-0.1638,-0.1638,-2.8448,0.009,-0.251,-0.251,-4.4457,2e-04,0.0151,0.0151,0.2352,0.8161
"51",338523,338523,"ENSMUSG00000042599","Kdm7a","lysine (K)-specific demethylase 7A",1e-04,0.0475,0.0027,0.0612,0.0612,0.7814,0.4423,0.3509,0.3509,4.6048,1e-04,0.0778,0.0778,0.8831,0.386
"52",74026,74026,"ENSMUSG00000052915","Msl1","male specific lethal 1",1e-04,0.0475,0.0025,0.1296,0.1296,3.493,0.0019,0.135,0.135,3.7239,0.0011,-0.0271,-0.0271,-0.648,0.5232
"53",18451,18451,"ENSMUSG00000019916","P4ha1","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide",1e-04,0.0475,0.0027,0.0558,0.0558,0.5946,0.5577,0.3664,0.3664,4.0205,5e-04,-0.0597,-0.0597,-0.5632,0.5786
"54",74322,74322,"ENSMUSG00000024560","Cxxc1","CXXC finger protein 1",1e-04,0.0475,0.0026,0.0886,0.0886,1.9573,0.0622,-0.0207,-0.0207,-0.4637,0.6471,-0.1691,-0.1691,-3.2741,0.0032
"55",78465,78465,"ENSMUSG00000070532","Ccdc190","coiled-coil domain containing 190",1e-04,0.0475,0.0026,0.2336,0.2336,2.847,0.0089,0.4253,0.4253,5.3506,1.765e-05,0.1716,0.1716,1.8706,0.0738
"56",20272,20272,"ENSMUSG00000034810","Scn7a","sodium channel, voltage-gated, type VII, alpha",1e-04,0.0475,0.0025,-0.163,-0.163,-1.3963,0.1755,-0.4541,-0.4541,-3.8667,7e-04,0.154,0.154,1.2246,0.2327
"57",18032,18032,"ENSMUSG00000001911","Nfix","nuclear factor I/X",1e-04,0.0501,0.0028,0.1629,0.1629,4.2503,3e-04,0.0603,0.0603,1.6062,0.1214,-0.0262,-0.0262,-0.6052,0.5508
"58",14397,14397,"ENSMUSG00000029211","Gabra4","gamma-aminobutyric acid type A receptor subunit alpha 4",1e-04,0.0504,0.0029,-0.0573,-0.0573,-1.143,0.2644,-0.0071,-0.0071,-0.145,0.8859,0.2119,0.2119,3.7738,9e-04
"59",231760,231760,"ENSMUSG00000029420","Rimbp2","RIMS binding protein 2",1e-04,0.0504,0.0028,0.2229,0.2229,3.9513,6e-04,0.2615,0.2615,4.7417,8.181e-05,0.0571,0.0571,0.8962,0.3791
"60",101214,101214,"ENSMUSG00000029817","Tra2a","transformer 2 alpha",1e-04,0.0504,0.0029,0.209,0.209,2.6301,0.0147,0.3828,0.3828,4.9426,4.924e-05,0.07,0.07,0.781,0.4425
"61",101490,101490,"ENSMUSG00000042105","Inpp5f","inositol polyphosphate-5-phosphatase F",1e-04,0.0504,0.003,-0.1425,-0.1425,-3.6794,0.0012,-0.1276,-0.1276,-3.3719,0.0025,0.029,0.029,0.6673,0.511
"62",97895,97895,"ENSMUSG00000032999","Nlrp4f","NLR family, pyrin domain containing 4F",2e-04,0.051,0.0032,-0.4813,-0.4813,-1.3069,0.2037,-1.9598,-1.9598,-4.7151,8.752e-05,0.0907,0.0907,0.233,0.8177
"63",110095,110095,"ENSMUSG00000021069","Pygl","liver glycogen phosphorylase",2e-04,0.051,0.0031,-0.3149,-0.3149,-4.0114,5e-04,-0.2657,-0.2657,-3.4761,0.002,0.0197,0.0197,0.2326,0.8181
"64",381983,381983,"ENSMUSG00000062044","Lmtk3","lemur tyrosine kinase 3",2e-04,0.051,0.0031,0.1049,0.1049,2.3405,0.028,-0.0589,-0.0589,-1.3404,0.1928,-0.1163,-0.1163,-2.2944,0.0309
"65",105247188,105247188,"","9130020K20Rik","RIKEN cDNA 9130020K20 gene",2e-04,0.051,0.0031,0.6077,0.6077,4.8401,6.378e-05,0.374,0.374,2.9779,0.0066,0.1099,0.1099,0.7554,0.4574
"66",360213,360213,"ENSMUSG00000042766","Trim46","tripartite motif-containing 46",2e-04,0.051,0.0032,0.116,0.116,2.3409,0.028,0.0043,0.0043,0.0884,0.9303,-0.1587,-0.1587,-2.8224,0.0095
"67",12062,12062,"ENSMUSG00000021070","Bdkrb2","bradykinin receptor, beta 2",2e-04,0.051,0.003,-0.184,-0.184,-1.0102,0.3226,-0.3743,-0.3743,-2.0635,0.0501,0.514,0.514,2.7356,0.0116
"68",17261,17261,"ENSMUSG00000001419","Mef2d","myocyte enhancer factor 2D",2e-04,0.051,0.0033,0.1017,0.1017,3.1587,0.0043,0.1265,0.1265,4.0211,5e-04,-0.0144,-0.0144,-0.3957,0.6958
"69",13498,13498,"ENSMUSG00000004263","Atn1","atrophin 1",2e-04,0.0519,0.0034,0.1467,0.1467,4.0739,4e-04,0.0413,0.0413,1.1711,0.2531,-0.0274,-0.0274,-0.6739,0.5069
"70",58212,58212,"ENSMUSG00000039860","Srrm3","serine/arginine repetitive matrix 3",2e-04,0.0519,0.0034,0.2079,0.2079,3.6097,0.0014,0.1662,0.1662,2.9455,0.0071,-0.0597,-0.0597,-0.9141,0.3698
