"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_207422_coefficient","contrast_207422_log2fc","contrast_207422_tstat","contrast_207422_pvalue"
"49",83762,83762,"ENSMUSG00000062372","Otof","otoferlin",2e-04,0.0942,0.0022,-0.6259,-0.6259,-4.8487,2e-04
"50",20104,20104,"ENSMUSG00000028495","Rps6","ribosomal protein S6",2e-04,0.0983,0.0025,-0.1947,-0.1947,-4.7736,2e-04
"51",228355,228355,"ENSMUSG00000040687","Madd","MAP-kinase activating death domain",3e-04,0.0998,0.0026,-0.194,-0.194,-4.756,3e-04
"52",56409,56409,"ENSMUSG00000024213","Nudt3","nudix hydrolase 3",3e-04,0.1009,0.0027,-0.1926,-0.1926,-4.7209,3e-04
"53",56433,56433,"ENSMUSG00000029462","Vps29","VPS29 retromer complex component",3e-04,0.1009,0.0026,0.2315,0.2315,4.7402,3e-04
"54",72844,72844,"ENSMUSG00000033287","Kctd17","potassium channel tetramerisation domain containing 17",3e-04,0.1009,0.0028,-0.2484,-0.2484,-4.7055,3e-04
"55",83701,83701,"ENSMUSG00000037364","Srrt","serrate RNA effector molecule homolog (Arabidopsis)",3e-04,0.1009,0.0027,-0.2674,-0.2674,-4.7241,3e-04
"56",20482,20482,"ENSMUSG00000027660","Skil","SKI-like",3e-04,0.1009,0.0027,0.2444,0.2444,4.7106,3e-04
"57",74155,74155,"ENSMUSG00000028967","Errfi1","ERBB receptor feedback inhibitor 1",3e-04,0.101,0.0028,0.2301,0.2301,4.6917,3e-04
"58",20955,20955,"ENSMUSG00000051412","Vamp7","vesicle-associated membrane protein 7",3e-04,0.101,0.0029,0.2788,0.2788,4.6799,3e-04
"59",76453,76453,"ENSMUSG00000039405","Prss23","serine protease 23",3e-04,0.101,0.0029,0.3453,0.3453,4.6865,3e-04
"60",240672,240672,"ENSMUSG00000034765","Dusp5","dual specificity phosphatase 5",3e-04,0.1021,0.003,0.3977,0.3977,4.6643,3e-04
"61",269275,269275,"ENSMUSG00000026834","Acvr1c","activin A receptor, type IC",3e-04,0.1021,0.0031,0.2738,0.2738,4.6507,3e-04
"62",74782,74782,"ENSMUSG00000020251","Glt8d2","glycosyltransferase 8 domain containing 2",3e-04,0.1021,0.003,-0.3888,-0.3888,-4.6526,3e-04
"63",100043914,100043914,"ENSMUSG00000078898","Zfp968","zinc finger protein 968",3e-04,0.1029,0.0031,5.7885,5.7885,4.639,3e-04
"64",16581,16581,"ENSMUSG00000004187","Kifc2","kinesin family member C2",3e-04,0.1046,0.0032,-0.2139,-0.2139,-4.6168,3e-04
"65",17188,17188,"ENSMUSG00000030678","Maz","MYC-associated zinc finger protein (purine-binding transcription factor)",3e-04,0.1046,0.0032,-0.2318,-0.2318,-4.6157,3e-04
"66",233071,233071,"ENSMUSG00000036882","Arhgap33","Rho GTPase activating protein 33",4e-04,0.1051,0.0036,-0.2465,-0.2465,-4.5572,4e-04
"67",234344,234344,"ENSMUSG00000014907","Naf1","nuclear assembly factor 1 ribonucleoprotein",4e-04,0.1051,0.0033,0.3253,0.3253,4.5775,4e-04
"68",67603,67603,"ENSMUSG00000019960","Dusp6","dual specificity phosphatase 6",4e-04,0.1051,0.0035,0.32,0.32,4.5694,4e-04
"69",76737,76737,"ENSMUSG00000023272","Creld2","cysteine-rich with EGF-like domains 2",4e-04,0.1051,0.0034,-0.3676,-0.3676,-4.5757,4e-04
"70",73368,73368,"ENSMUSG00000016356","Col20a1","collagen, type XX, alpha 1",4e-04,0.1051,0.0033,-0.364,-0.364,-4.5959,4e-04
"71",380785,380785,"ENSMUSG00000040867","Begain","brain-enriched guanylate kinase-associated",4e-04,0.1051,0.0035,-0.243,-0.243,-4.5675,4e-04
"72",67279,67279,"ENSMUSG00000020801","Med31","mediator complex subunit 31",4e-04,0.1051,0.0036,0.4358,0.4358,4.5625,4e-04
"73",14402,14402,"ENSMUSG00000033676","Gabrb3","GABRB3, gamma-aminobutyric acid type A receptor subunit beta 3",4e-04,0.1051,0.0034,0.1565,0.1565,4.5731,4e-04
"74",67048,67048,"ENSMUSG00000073131","Vma21","VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)",4e-04,0.1056,0.0036,0.237,0.237,4.5484,4e-04
"75",13170,13170,"ENSMUSG00000059824","Dbp","D site albumin promoter binding protein",4e-04,0.1133,0.0037,0.533,0.533,4.4992,4e-04
"76",67154,67154,"ENSMUSG00000022255","Mtdh","metadherin",4e-04,0.1133,0.0038,0.1894,0.1894,4.4939,4e-04
